Batch	m_SP	2	P2_L	W4_L	
3.065052e-10	9.792423189055798e-06	0.1	3.065052e-10	4.852593e-118	0.1
6.637421e-10	9.557529978202801e-06	0.1	6.637421e-10	1.0460106e-117	0.1
1.539801e-09	9.010907569224e-06	0.1	1.539801e-09	2.3998287000000003e-117	0.1
2.9547e-09	8.2087513289622e-06	0.1	2.9547e-09	4.5256350000000004e-117	0.1
4.290153e-09	7.5325500335415005e-06	0.1	4.290153e-09	6.46797e-117	0.1
5.30437e-09	7.0653014402643e-06	0.1	5.30437e-09	7.904382e-117	0.1
6.686005e-09	6.485701122642801e-06	0.1	6.686005e-09	9.811010999999998e-117	0.1
8.615692e-09	5.7719293564725e-06	0.1	8.615692e-09	1.2384423000000002e-116	0.1
1.122967e-08	4.9531836347128e-06	0.1	1.122967e-08	1.5720516e-116	0.1
1.384365e-08	4.271898627075499e-06	0.1	1.384365e-08	1.8904026000000002e-116	0.1
1.645763e-08	3.700135644135e-06	0.1	1.645763e-08	2.1953588999999997e-116	0.1
1.907161e-08	3.2165583673080003e-06	0.1	1.907161e-08	2.4885090000000002e-116	0.1
2.16856e-08	2.8047264727788e-06	0.1	2.16856e-08	2.7712164e-116	0.1
2.461796e-08	2.41239486358e-06	0.1	2.461796e-08	3.077382e-116	0.1
2.776257e-08	2.0583310001852402e-06	0.1	2.776257e-08	3.3943769999999996e-116	0.1
3.090718e-08	1.7603819360696103e-06	0.1	3.090718e-08	3.701115e-116	0.1
3.443999e-08	1.48001021054442e-06	0.1	3.443999e-08	4.035069e-116	0.1
3.82316e-08	1.23097893920524e-06	0.1	3.82316e-08	4.382646e-116	0.1
4.20232e-08	1.02537547087937e-06	0.1	4.20232e-08	4.720557e-116	0.1
4.660066e-08	8.2352349948303e-07	0.1	4.660066e-08	5.117514e-116	0.1
5.117812e-08	6.6210253225562e-07	0.1	5.117812e-08	5.504262e-116	0.1
5.653551e-08	5.1333355888602e-07	0.1	5.653551e-08	5.946024e-116	0.1
6.208788e-08	3.94550360421e-07	0.1	6.208788e-08	6.393483e-116	0.1
6.854828e-08	2.90590468267528e-07	0.1	6.854828e-08	6.903063e-116	0.1
7.52357e-08	2.1177450011053702e-07	0.1	7.52357e-08	7.420107e-116	0.1
8.248604e-08	1.50285661353828e-07	0.1	8.248604e-08	7.970609999999999e-116	0.1
9.058078e-08	1.02468276106934e-07	0.1	9.058078e-08	8.57472e-116	0.1
