Batch	m_SP	11	W4_L	W2	W3	W6	R	P1	P2	P3	P4	P5	P6																			
2.455343e-06	0.9899027	0.1	2.455343e-06	2.140987e-08	0.1	2.455343e-06	4.366495e-06	0.1	2.455343e-06	3.25283e-05	0.1	2.455343e-06	0.0002032625	0.1	2.455343e-06	0.003108091	0.1	2.455343e-06	0.001532127	0.1	2.455343e-06	0.0001535363	0.1	2.455343e-06	4.777825e-08	0.1	2.455343e-06	3.311324e-05	0.1	2.455343e-06	1.589436e-11	0.1
2.864648e-06	0.988316	0.1	2.864648e-06	2.221141e-08	0.1	2.864648e-06	5.198026e-06	0.1	2.864648e-06	3.697505e-05	0.1	2.864648e-06	0.0002419328	0.1	2.864648e-06	0.003703639	0.1	2.864648e-06	0.001668115	0.1	2.864648e-06	0.000169415	0.1	2.864648e-06	6.738307e-08	0.1	2.864648e-06	3.773786e-05	0.1	2.864648e-06	2.255834e-11	0.1
3.273953e-06	0.986754	0.1	3.273953e-06	2.27826e-08	0.1	3.273953e-06	6.055363e-06	0.1	3.273953e-06	4.118154e-05	0.1	3.273953e-06	0.0002816823	0.1	3.273953e-06	0.004318579	0.1	3.273953e-06	0.001774426	0.1	3.273953e-06	0.0001826013	0.1	3.273953e-06	8.998757e-08	0.1	3.273953e-06	4.199458e-05	0.1	3.273953e-06	2.990373e-11	0.1
3.683259e-06	0.9852133	0.1	3.683259e-06	2.319714e-08	0.1	3.683259e-06	6.934115e-06	0.1	3.683259e-06	4.515953e-05	0.1	3.683259e-06	0.0003222315	0.1	3.683259e-06	0.004949573	0.1	3.683259e-06	0.001856052	0.1	3.683259e-06	0.0001934249	0.1	3.683259e-06	1.151337e-07	0.1	3.683259e-06	4.587349e-05	0.1	3.683259e-06	3.76479e-11	0.1
4.092564e-06	0.9836907	0.1	4.092564e-06	2.350471e-08	0.1	4.092564e-06	7.830033e-06	0.1	4.092564e-06	4.892012e-05	0.1	4.092564e-06	0.0003633046	0.1	4.092564e-06	0.005593398	0.1	4.092564e-06	0.001917783	0.1	4.092564e-06	0.0002022336	0.1	4.092564e-06	1.423736e-07	0.1	4.092564e-06	4.937889e-05	0.1	4.092564e-06	4.554563e-11	0.1
4.501869e-06	0.9821833	0.1	4.501869e-06	2.373892e-08	0.1	4.501869e-06	8.739325e-06	0.1	4.501869e-06	5.247395e-05	0.1	4.501869e-06	0.0004046474	0.1	4.501869e-06	0.006247184	0.1	4.501869e-06	0.001963857	0.1	4.501869e-06	0.0002093597	0.1	4.501869e-06	1.713043e-07	0.1	4.501869e-06	5.252591e-05	0.1	4.501869e-06	5.340114e-11	0.1
4.911174e-06	0.9806885	0.1	4.911174e-06	2.392262e-08	0.1	4.911174e-06	9.658782e-06	0.1	4.911174e-06	5.583123e-05	0.1	4.911174e-06	0.0004460359	0.1	4.911174e-06	0.006908507	0.1	4.911174e-06	0.001997832	0.1	4.911174e-06	0.0002151032	0.1	4.911174e-06	2.015827e-07	0.1	4.911174e-06	5.533691e-05	0.1	4.911174e-06	6.10687e-11	0.1
5.357202e-06	0.9790716	0.1	5.357202e-06	2.408342e-08	0.1	5.357202e-06	1.066925e-05	0.1	5.357202e-06	5.927743e-05	0.1	5.357202e-06	0.0004909653	0.1	5.357202e-06	0.007635443	0.1	5.357202e-06	0.002024445	0.1	5.357202e-06	0.0002200907	0.1	5.357202e-06	2.357837e-07	0.1	5.357202e-06	5.804867e-05	0.1	5.357202e-06	6.909254e-11	0.1
5.858312e-06	0.9772676	0.1	5.858312e-06	2.423125e-08	0.1	5.858312e-06	1.181193e-05	0.1	5.858312e-06	6.289987e-05	0.1	5.858312e-06	0.0005409804	0.1	5.858312e-06	0.008457579	0.1	5.858312e-06	0.002044865	0.1	5.858312e-06	0.0002244483	0.1	5.858312e-06	2.75365e-07	0.1	5.858312e-06	6.07023e-05	0.1	5.858312e-06	7.759837e-11	0.1
6.473681e-06	0.9750674	0.1	6.473681e-06	2.438256e-08	0.1	6.473681e-06	1.322199e-05	0.1	6.473681e-06	6.701067e-05	0.1	6.473681e-06	0.0006013969	0.1	6.473681e-06	0.009472089	0.1	6.473681e-06	0.00206047	0.1	6.473681e-06	0.0002284397	0.1	6.473681e-06	3.252188e-07	0.1	6.473681e-06	6.346484e-05	0.1	6.473681e-06	8.722984e-11	0.1
