	T[K]	W4	W5	W1
600 0.44259 0.55486 0.00125
700 0.42945 0.56626 0.00287
800 0.41887 0.57431 0.00534
900 0.41054 0.57941 0.00865
1000 0.40173 0.58414 0.01263
1100 0.39498 0.58630 0.01723
1200 0.38861 0.58753 0.02232
1300 0.38304 0.58764 0.02772
1400 0.37733 0.58788 0.03333
1500 0.37257 0.58681 0.03922
1600 0.36817 0.58590 0.04487
1700 0.00026 0.00037 0.99928
1800 0.98742 0.00000 0.01258
1900 0.98742 0.00000 0.01258
2000 0.98742 0.00000 0.01258
2100 0.98742 0.00000 0.01258
2200 0.98742 0.00000 0.01258
2300 0.98738 0.00000 0.01258
2400 0.98742 0.00000 0.01258
2500 0.98742 0.00000 0.01258
