Batch	m_SP	11	W4_L	W2	W3	W6	R	P1	P2	P3	P4	P5	P6																			
5.760486	0.989049277	0.1	5.760486	1.550733e-10	0.1	5.760486	8.450382e-07	0.1	5.760486	0.0002982069	0.1	5.760486	4.670787e-08	0.1	5.760486	0.005325656	0.1	5.760486	1.548959e-07	0.1	5.760486	3.919835e-09	0.1	5.760486	6.072079e-13	0.1	5.760486	8.314448e-10	0.1	5.760486	4.881259e-19	0.1
6.587514	0.987449424	0.1	6.587514	1.57026e-10	0.1	6.587514	9.625789e-07	0.1	6.587514	0.0002977258	0.1	6.587514	4.66513e-08	0.1	6.587514	0.006125776	0.1	6.587514	1.547084e-07	0.1	6.587514	3.915088e-09	0.1	6.587514	6.968564e-13	0.1	6.587514	8.304378e-10	0.1	6.587514	4.875347e-19	0.1
7.618608	0.985460089	0.1	7.618608	1.594365e-10	0.1	7.618608	1.107789e-06	0.1	7.618608	0.0002971274	0.1	7.618608	4.658096e-08	0.1	7.618608	0.007120614	0.1	7.618608	1.544751e-07	0.1	7.618608	3.909185e-09	0.1	7.618608	8.093406e-13	0.1	7.618608	8.291856e-10	0.1	7.618608	4.867996e-19	0.1
9.044017	0.9827200399999999	0.1	9.044017	1.627255e-10	0.1	9.044017	1.306117e-06	0.1	9.044017	0.0002963035	0.1	9.044017	4.648404e-08	0.1	9.044017	0.008490971	0.1	9.044017	1.541537e-07	0.1	9.044017	3.901051e-09	0.1	9.044017	9.660338e-13	0.1	9.044017	8.274604e-10	0.1	9.044017	4.857868e-19	0.1
11.60975	0.9778165249999999	0.1	11.60975	1.685209e-10	0.1	11.60975	1.65615e-06	0.1	11.60975	0.0002948299	0.1	11.60975	4.631055e-08	0.1	11.60975	0.0109433	0.1	11.60975	1.535783e-07	0.1	11.60975	3.886491e-09	0.1	11.60975	1.25105e-12	0.1	11.60975	8.243721e-10	0.1	11.60975	4.839737e-19	0.1
16.17106	0.9691889009999999	0.1	16.17106	1.784373e-10	0.1	16.17106	2.256892e-06	0.1	16.17106	0.0002922397	0.1	16.17106	4.600511e-08	0.1	16.17106	0.01525809	0.1	16.17106	1.525654e-07	0.1	16.17106	3.860858e-09	0.1	16.17106	1.764323e-12	0.1	16.17106	8.18935e-10	0.1	16.17106	4.807817e-19	0.1
24.33871	0.954021113	0.1	24.33871	1.950128e-10	0.1	24.33871	3.266721e-06	0.1	24.33871	0.0002876943	0.1	24.33871	4.546757e-08	0.1	24.33871	0.02284372	0.1	24.33871	1.507828e-07	0.1	24.33871	3.815746e-09	0.1	24.33871	2.68813e-12	0.1	24.33871	8.093661e-10	0.1	24.33871	4.75164e-19	0.1
34.15036	0.936262875	0.1	34.15036	2.130499e-10	0.1	34.15036	4.375131e-06	0.1	34.15036	0.0002823861	0.1	34.15036	4.483725e-08	0.1	34.15036	0.03172496	0.1	34.15036	1.486925e-07	0.1	34.15036	3.762848e-09	0.1	34.15036	3.767227e-12	0.1	34.15036	7.981459e-10	0.1	34.15036	4.685768e-19	0.1
53.77367	0.9021853919999999	0.1	53.77367	2.436311e-10	0.1	53.77367	6.284584e-06	0.1	53.77367	0.0002722424	0.1	53.77367	4.362465e-08	0.1	53.77367	0.04876784	0.1	53.77367	1.446711e-07	0.1	53.77367	3.661083e-09	0.1	53.77367	5.660374e-12	0.1	53.77367	7.765603e-10	0.1	53.77367	4.559043e-19	0.1
82.32316	0.8557802040000001	0.1	82.32316	2.770946e-10	0.1	82.32316	8.443346e-06	0.1	82.32316	0.0002585241	0.1	82.32316	4.196637e-08	0.1	82.32316	0.07197624	0.1	82.32316	1.391718e-07	0.1	82.32316	3.521917e-09	0.1	82.32316	7.537986e-12	0.1	82.32316	7.470414e-10	0.1	82.32316	4.385743e-19	0.1
113.1042	0.809553773	0.1	113.1042	3.015886e-10	0.1	113.1042	1.011673e-05	0.1	113.1042	0.0002449752	0.1	113.1042	4.030557e-08	0.1	113.1042	0.09509538	0.1	113.1042	1.336641e-07	0.1	113.1042	3.382538e-09	0.1	113.1042	8.57105e-12	0.1	113.1042	7.174775e-10	0.1	113.1042	4.212179e-19	0.1
149.5949	0.7592932739999999	0.1	149.5949	3.189422e-10	0.1	149.5949	1.143548e-05	0.1	149.5949	0.0002303868	0.1	149.5949	3.848838e-08	0.1	149.5949	0.1202323	0.1	149.5949	1.276378e-07	0.1	149.5949	3.230035e-09	0.1	149.5949	9.055674e-12	0.1	149.5949	6.851297e-10	0.1	149.5949	4.022272e-19	0.1
187.5131	0.711668365	0.1	187.5131	3.272228e-10	0.1	187.5131	1.224458e-05	0.1	187.5131	0.0002167124	0.1	187.5131	3.675392e-08	0.1	187.5131	0.1440512	0.1	187.5131	1.218859e-07	0.1	187.5131	3.084474e-09	0.1	187.5131	9.178018e-12	0.1	187.5131	6.542546e-10	0.1	187.5131	3.84101e-19	0.1
225.4313	0.668165192	0.1	225.4313	3.285072e-10	0.1	225.4313	1.264479e-05	0.1	225.4313	0.0002043592	0.1	225.4313	3.515732e-08	0.1	225.4313	0.1658088	0.1	225.4313	1.165911e-07	0.1	225.4313	2.950483e-09	0.1	225.4313	9.129757e-12	0.1	225.4313	6.258335e-10	0.1	225.4313	3.674155e-19	0.1
263.3495	0.6282974539999999	0.1	263.3495	3.24952e-10	0.1	263.3495	1.27562e-05	0.1	263.3495	0.0001931631	0.1	263.3495	3.368241e-08	0.1	263.3495	0.1857482	0.1	263.3495	1.116999e-07	0.1	263.3495	2.826705e-09	0.1	263.3495	8.996416e-12	0.1	263.3495	5.995785e-10	0.1	263.3495	3.520017e-19	0.1
309.1042	0.584447326	0.1	309.1042	3.163996e-10	0.1	309.1042	1.262823e-05	0.1	309.1042	0.0001809977	0.1	309.1042	3.20453e-08	0.1	309.1042	0.2076794	0.1	309.1042	1.062708e-07	0.1	309.1042	2.689315e-09	0.1	309.1042	8.774425e-12	0.1	309.1042	5.704364e-10	0.1	309.1042	3.34893e-19	0.1
354.8589	0.544681433	0.1	354.8589	3.049572e-10	0.1	354.8589	1.231324e-05	0.1	354.8589	0.0001701113	0.1	354.8589	3.054518e-08	0.1	354.8589	0.2275679	0.1	354.8589	1.01296e-07	0.1	354.8589	2.563421e-09	0.1	354.8589	8.516718e-12	0.1	354.8589	5.437328e-10	0.1	354.8589	3.192158e-19	0.1
400.6137	0.508489647	0.1	400.6137	2.919088e-10	0.1	400.6137	1.18844e-05	0.1	400.6137	0.0001603336	0.1	400.6137	2.91651e-08	0.1	400.6137	0.2456689	0.1	400.6137	9.671922e-08	0.1	400.6137	2.447601e-09	0.1	400.6137	8.242277e-12	0.1	400.6137	5.191659e-10	0.1	400.6137	3.04793e-19	0.1
446.3684	0.47544307599999996	0.1	446.3684	2.781088e-10	0.1	446.3684	1.139109e-05	0.1	446.3684	0.0001515221	0.1	446.3684	2.78908e-08	0.1	446.3684	0.2621969	0.1	446.3684	9.249329e-08	0.1	446.3684	2.340658e-09	0.1	446.3684	7.962533e-12	0.1	446.3684	4.964821e-10	0.1	446.3684	2.914758e-19	0.1
492.1231	0.445178076	0.1	492.1231	2.641193e-10	0.1	492.1231	1.086638e-05	0.1	492.1231	0.0001435566	0.1	492.1231	2.671021e-08	0.1	492.1231	0.2773337	0.1	492.1231	8.857813e-08	0.1	492.1231	2.24158e-09	0.1	492.1231	7.684537e-12	0.1	492.1231	4.754665e-10	0.1	492.1231	2.791379e-19	0.1
537.8779	0.417384689	0.1	537.8779	2.503026e-10	0.1	537.8779	1.033221e-05	0.1	537.8779	0.0001363351	0.1	537.8779	2.561305e-08	0.1	537.8779	0.2912342	0.1	537.8779	8.493963e-08	0.1	537.8779	2.149503e-09	0.1	537.8779	7.412606e-12	0.1	537.8779	4.559359e-10	0.1	537.8779	2.676719e-19	0.1
599.2242	0.38353975	0.1	599.2242	2.324318e-10	0.1	599.2242	9.625288e-06	0.1	599.2242	0.0001276702	0.1	599.2242	2.425768e-08	0.1	599.2242	0.3081614	0.1	599.2242	8.044487e-08	0.1	599.2242	2.035757e-09	0.1	599.2242	7.061836e-12	0.1	599.2242	4.31809e-10	0.1	599.2242	2.535075e-19	0.1
660.5705	0.35312313900000003	0.1	660.5705	2.155726e-10	0.1	660.5705	8.94688e-06	0.1	660.5705	0.0001200122	0.1	660.5705	2.301862e-08	0.1	660.5705	0.3233739	0.1	660.5705	7.633579e-08	0.1	660.5705	1.931772e-09	0.1	660.5705	6.729615e-12	0.1	660.5705	4.097525e-10	0.1	660.5705	2.405585e-19	0.1
721.9169	0.32568666	0.1	721.9169	1.998509e-10	0.1	721.9169	8.307189e-06	0.1	721.9169	0.0001132165	0.1	721.9169	2.188101e-08	0.1	721.9169	0.3370959	0.1	721.9169	7.256314e-08	0.1	721.9169	1.836301e-09	0.1	721.9169	6.416976e-12	0.1	721.9169	3.895018e-10	0.1	721.9169	2.286697e-19	0.1
783.2632	0.300855912	0.1	783.2632	1.852909e-10	0.1	783.2632	7.710363e-06	0.1	783.2632	0.0001071638	0.1	783.2632	2.083244e-08	0.1	783.2632	0.3495145	0.1	783.2632	6.908581e-08	0.1	783.2632	1.748302e-09	0.1	783.2632	6.12377e-12	0.1	783.2632	3.708363e-10	0.1	783.2632	2.177116e-19	0.1
842.8329	0.278939042	0.1	842.8329	1.722337e-10	0.1	842.8329	7.172473e-06	0.1	842.8329	0.0001019027	0.1	842.8329	1.988957e-08	0.1	842.8329	0.3604759	0.1	842.8329	6.595898e-08	0.1	842.8329	1.669174e-09	0.1	842.8329	5.856904e-12	0.1	842.8329	3.540522e-10	0.1	842.8329	2.078579e-19	0.1
901.2181	0.25931704	0.1	901.2181	1.604153e-10	0.1	901.2181	6.683974e-06	0.1	901.2181	9.726081e-05	0.1	901.2181	1.902955e-08	0.1	901.2181	0.3702894	0.1	901.2181	6.310691e-08	0.1	901.2181	1.596999e-09	0.1	901.2181	5.611431e-12	0.1	901.2181	3.387429e-10	0.1	901.2181	1.988702e-19	0.1
974.5257	0.236982326	0.1	974.5257	1.468492e-10	0.1	974.5257	6.121796e-06	0.1	974.5257	9.205959e-05	0.1	974.5257	1.802954e-08	0.1	974.5257	0.3814597	0.1	974.5257	5.97906e-08	0.1	974.5257	1.513075e-09	0.1	974.5257	5.324127e-12	0.1	974.5257	3.209418e-10	0.1	974.5257	1.884194e-19	0.1
1047.833	0.21690275799999997	0.1	1047.833	1.34575e-10	0.1	1047.833	5.612181e-06	0.1	1047.833	8.74623e-05	0.1	1047.833	1.710822e-08	0.1	1047.833	0.391502	0.1	1047.833	5.673525e-08	0.1	1047.833	1.435756e-09	0.1	1047.833	5.05812e-12	0.1	1047.833	3.045414e-10	0.1	1047.833	1.787911e-19	0.1
1121.141	0.198797928	0.1	1121.141	1.234619e-10	0.1	1121.141	5.150201e-06	0.1	1121.141	8.338433e-05	0.1	1121.141	1.625635e-08	0.1	1121.141	0.4005567	0.1	1121.141	5.39102e-08	0.1	1121.141	1.364264e-09	0.1	1121.141	4.811375e-12	0.1	1121.141	2.893771e-10	0.1	1121.141	1.698885e-19	0.1
1222.418	0.17660100020000002	0.1	1222.418	1.097953e-10	0.1	1222.418	4.581554e-06	0.1	1222.418	7.847602e-05	0.1	1222.418	1.517941e-08	0.1	1222.418	0.4116579	0.1	1222.418	5.033876e-08	0.1	1222.418	1.273884e-09	0.1	1222.418	4.498729e-12	0.1	1222.418	2.702065e-10	0.1	1222.418	1.586337e-19	0.1
1330.689	0.15596083549999998	0.1	1330.689	9.706033e-11	0.1	1330.689	4.051336e-06	0.1	1330.689	7.400705e-05	0.1	1330.689	1.413913e-08	0.1	1330.689	0.4219805	0.1	1330.689	4.68889e-08	0.1	1330.689	1.186581e-09	0.1	1330.689	4.196293e-12	0.1	1330.689	2.516884e-10	0.1	1330.689	1.477622e-19	0.1
1438.959	0.1380160103	0.1	1438.959	8.597568e-11	0.1	1438.959	3.589674e-06	0.1	1438.959	7.020012e-05	0.1	1438.959	1.319721e-08	0.1	1438.959	0.430955	0.1	1438.959	4.376522e-08	0.1	1438.959	1.107532e-09	0.1	1438.959	3.922298e-12	0.1	1438.959	2.349212e-10	0.1	1438.959	1.379185e-19	0.1
1547.229	0.12235451209999999	0.1	1547.229	7.629603e-11	0.1	1547.229	3.186462e-06	0.1	1547.229	6.694009e-05	0.1	1547.229	1.234008e-08	0.1	1547.229	0.4387876	0.1	1547.229	4.092275e-08	0.1	1547.229	1.0356e-09	0.1	1547.229	3.672964e-12	0.1	1547.229	2.196635e-10	0.1	1547.229	1.28961e-19	0.1
1655.499	0.1086399222	0.1	1655.499	6.781756e-11	0.1	1655.499	2.833259e-06	0.1	1655.499	6.413521e-05	0.1	1655.499	1.155667e-08	0.1	1655.499	0.4456465	0.1	1655.499	3.832475e-08	0.1	1655.499	9.698544e-10	0.1	1655.499	3.445141e-12	0.1	1655.499	2.057181e-10	0.1	1655.499	1.207739e-19	0.1
1763.769	0.0965949081	0.1	1763.769	6.037059e-11	0.1	1763.769	2.52302e-06	0.1	1763.769	6.171167e-05	0.1	1763.769	1.083785e-08	0.1	1763.769	0.4516704	0.1	1763.769	3.594093e-08	0.1	1763.769	9.095286e-10	0.1	1763.769	3.236201e-12	0.1	1763.769	1.929222e-10	0.1	1763.769	1.132617e-19	0.1
