	T[K]	W4	W5	W1
600 0.44215 0.55545 0.00125
700 0.42990 0.56595 0.00288
800 0.41889 0.57452 0.00534
900 0.40980 0.58032 0.00860
1000 0.40158 0.58449 0.01266
1100 0.39495 0.58659 0.01724
1200 0.41010 0.58876 0.00000
1300 0.00000 0.99898 0.00000
1400 0.00000 0.99901 0.00000
1500 0.00000 0.99904 0.00000
1600 0.00000 0.99901 0.00000
1700 0.00000 0.99883 0.00000
1800 0.00000 0.99882 0.00000
1900 0.00000 0.99906 0.00000
2000 0.00000 0.99864 0.00000
2100 0.00000 0.99888 0.00000
2200 0.00000 0.99864 0.00000
2300 0.00000 0.99846 0.00000
