	T[K]	W4	W5	W1
600 0.36056 0.58349 0.05318
700 0.36345 0.58080 0.05309
800 0.36469 0.58018 0.05254
900 0.36504 0.57975 0.05260
1000 0.36294 0.57974 0.05489
1100 0.35635 0.57986 0.06145
1200 0.34417 0.57800 0.07557
1300 0.31842 0.57287 0.10651
1400 0.41783 0.57659 0.00000
1500 0.00000 0.99448 0.00000
1600 0.00000 0.99447 0.00000
1700 0.00000 0.99448 0.00000
1800 0.00000 0.99451 0.00000
1900 0.00000 0.99452 0.00000
2000 0.00000 0.99453 0.00000
2100 0.00000 0.99455 0.00000
2200 0.00000 0.99456 0.00000
2300 0.00000 0.99456 0.00000
2400 0.00000 0.99457 0.00000
2500 0.00000 0.99458 0.00000
