	T[K]	W4	W5	W1
600 0.00000 0.94862 0.04584
700 0.94627 0.00000 0.04821
800 0.30714 0.66898 0.01837
900 0.34709 0.59881 0.04812
1000 0.32815 0.57306 0.09284
1100 0.38858 0.60553 0.00000
1200 0.00000 0.99452 0.00000
1300 0.00000 0.99447 0.00000
1400 0.00000 0.99501 0.00000
1500 0.00000 0.99561 0.00000
1600 0.00000 0.99623 0.00000
1700 0.00000 0.99709 0.00000
1800 0.00000 0.99714 0.00000
1900 0.00000 0.99714 0.00000
2000 0.00000 0.99715 0.00000
2100 0.00000 0.99716 0.00000
2200 0.33238 0.33238 0.33238
2300 0.33239 0.33239 0.33239
2400 0.33240 0.33240 0.33240
2500 0.33240 0.33240 0.33240
