	T[K]	W4	W5	W1
600 0.37100 0.58146 0.04144
700 0.37103 0.58214 0.04073
800 0.37191 0.58138 0.04061
900 0.36876 0.58167 0.04346
1000 0.36027 0.58108 0.05253
1100 0.34103 0.57694 0.07590
1200 0.40348 0.59039 0.00000
1300 0.00000 0.99391 0.00000
1400 0.00000 0.99388 0.00000
1500 0.00000 0.99386 0.00000
1600 0.00000 0.99386 0.00000
1700 0.00000 0.99387 0.00000
1800 0.00000 0.99388 0.00000
1900 0.00000 0.99389 0.00000
2000 0.00000 0.99390 0.00000
2100 0.00000 0.99391 0.00000
2200 0.00000 0.99392 0.00000
2300 0.00000 0.99393 0.00000
2400 0.33132 0.33132 0.33132
