	T[K]	W4	W5	W1
600 0.37367 0.58278 0.04165
700 0.42380 0.56959 0.00494
800 0.42380 0.54114 0.03342
900 0.36809 0.58480 0.04557
1000 0.35833 0.58275 0.05745
1100 0.34158 0.57798 0.07900
1200 0.41656 0.58193 0.00000
1300 0.00000 0.99848 0.00000
1400 0.00000 0.99863 0.00000
1500 0.00000 0.99860 0.00000
1600 0.00000 0.99850 0.00000
1700 0.00000 0.99837 0.00000
1800 0.00000 0.99864 0.00000
1900 0.00000 0.99797 0.00000
2000 0.00000 0.99783 0.00000
2100 0.00000 0.99848 0.00000
2200 0.00000 0.99845 0.00000
2300 0.00000 0.99841 0.00000
2400 0.33280 0.33280 0.33280
2500 0.33280 0.33280 0.33280
