	T[K]	W4	W5	W1
600 0.44212 0.55540 0.00125
700 0.42988 0.56592 0.00288
800 0.41889 0.57452 0.00534
900 0.40981 0.58033 0.00860
1000 0.40159 0.58451 0.01266
1100 0.39491 0.58653 0.01724
1200 0.40998 0.58858 0.00000
1300 0.00000 0.99841 0.00000
1400 0.00000 0.99876 0.00000
1500 0.00000 0.99872 0.00000
1600 0.00000 0.99820 0.00000
1700 0.00000 0.99852 0.00000
1800 0.00000 0.99866 0.00000
1900 0.00000 0.99836 0.00000
2000 0.00000 0.99826 0.00000
2100 0.00000 0.99825 0.00000
2200 0.00000 0.99822 0.00000
2300 0.00000 0.99821 0.00000
