Batch	m_SP	7	P1	R	W4_L	W3	P2_L	P3	P4											
166.4226	9.8878811202e-06	0.1	166.4226	2.580922e-10	0.1	166.4226	4.599413e-08	0.1	166.4226	3.562501e-08	0.1	166.4226	2.982884833e-08	0.1	166.4226	2.78264e-10	0.1	166.4226	1.833215e-11	0.1
383.9784	9.7433575910944e-06	0.1	383.9784	5.911217e-10	0.1	383.9784	1.0534392e-07	0.1	383.9784	8.159471e-08	0.1	383.9784	6.8319312e-08	0.1	383.9784	6.373197e-10	0.1	383.9784	4.198751e-11	0.1
761.7407	9.4974090751995e-06	0.1	761.7407	1.157873e-09	0.1	761.7407	2.0634501e-07	0.1	761.7407	1.598257e-07	0.1	761.7407	1.338221504e-07	0.1	761.7407	1.248364e-09	0.1	761.7407	8.224407e-11	0.1
1479.033	9.047359811234101e-06	0.1	1479.033	2.194941e-09	0.1	1479.033	3.911615e-07	0.1	1479.033	3.029763e-07	0.1	1479.033	2.536822898e-07	0.1	1479.033	2.366481e-09	0.1	1479.033	1.559074e-10	0.1
2734.293	8.3104817390255e-06	0.1	2734.293	3.892964e-09	0.1	2734.293	6.937673e-07	0.1	2734.293	5.373613e-07	0.1	2734.293	4.499329903e-07	0.1	2734.293	4.197208e-09	0.1	2734.293	2.765186e-10	0.1
4527.523	7.3606832398466e-06	0.1	4527.523	6.081631e-09	0.1	4527.523	1.083811e-06	0.1	4527.523	8.394718e-07	0.1	4527.523	7.028902470000001e-07	0.1	4527.523	6.556925e-09	0.1	4527.523	4.319805e-10	0.1
7298.907	6.101820269043199e-06	0.1	7298.907	8.982492e-09	0.1	7298.907	1.6007752e-06	0.1	7298.907	1.239889e-06	0.1	7298.907	1.038160282e-06	0.1	7298.907	9.684494e-09	0.1	7298.907	6.380298e-10	0.1
10070.29	5.0582558410630994e-06	0.1	10070.29	1.138723e-08	0.1	10070.29	2.0293257999999998e-06	0.1	10070.29	1.571825e-06	0.1	10070.29	1.3160907230000001e-06	0.1	10070.29	1.227717e-08	0.1	10070.29	8.088394e-10	0.1
13970.28	3.8848055472433004e-06	0.1	13970.28	1.409127e-08	0.1	13970.28	2.5112139999999997e-06	0.1	13970.28	1.945075e-06	0.1	13970.28	1.628612278e-06	0.1	13970.28	1.519254e-08	0.1	13970.28	1.000909e-09	0.1
18152.42	2.9271481665223e-06	0.1	18152.42	1.629806e-08	0.1	18152.42	2.904486e-06	0.1	18152.42	2.249686e-06	0.1	18152.42	1.88366336e-06	0.1	18152.42	1.757179e-08	0.1	18152.42	1.157657e-09	0.1
22334.56	2.2055673123126e-06	0.1	22334.56	1.796084e-08	0.1	22334.56	3.2008120000000002e-06	0.1	22334.56	2.479206e-06	0.1	22334.56	2.0758405510000003e-06	0.1	22334.56	1.936452e-08	0.1	22334.56	1.275765e-09	0.1
26516.7	1.6618645588145e-06	0.1	26516.7	1.921372e-08	0.1	26516.7	3.4240879999999996e-06	0.1	26516.7	2.652146e-06	0.1	26516.7	2.220643611e-06	0.1	26516.7	2.071531e-08	0.1	26516.7	1.364758e-09	0.1
30698.84	1.2521934726084001e-06	0.1	30698.84	2.015775e-08	0.1	30698.84	3.592324e-06	0.1	30698.84	2.782455e-06	0.1	30698.84	2.329751222e-06	0.1	30698.84	2.173312e-08	0.1	30698.84	1.431812e-09	0.1
34880.98	9.435108059675001e-07	0.1	34880.98	2.086906e-08	0.1	34880.98	3.719088e-06	0.1	34880.98	2.88064e-06	0.1	34880.98	2.411961985e-06	0.1	34880.98	2.250003e-08	0.1	34880.98	1.482337e-09	0.1
39063.12	7.109229133525e-07	0.1	39063.12	2.140503e-08	0.1	39063.12	3.8146029999999997e-06	0.1	39063.12	2.954622e-06	0.1	39063.12	2.473906913e-06	0.1	39063.12	2.307788e-08	0.1	39063.12	1.520407e-09	0.1
43245.26	5.3567095046098e-07	0.1	43245.26	2.180887e-08	0.1	43245.26	3.886572e-06	0.1	43245.26	3.010366e-06	0.1	43245.26	2.520581566e-06	0.1	43245.26	2.351328e-08	0.1	43245.26	1.549092e-09	0.1
47597.06	3.9901267237698e-07	0.1	47597.06	2.212378e-08	0.1	47597.06	3.9426929999999996e-06	0.1	47597.06	3.053834e-06	0.1	47597.06	2.5569774930000002e-06	0.1	47597.06	2.38528e-08	0.1	47597.06	1.571461e-09	0.1
52627.55	2.8387502312963995e-07	0.1	52627.55	2.23891e-08	0.1	52627.55	3.989975e-06	0.1	52627.55	3.090457e-06	0.1	52627.55	2.587641306e-06	0.1	52627.55	2.413886e-08	0.1	52627.55	1.590306e-09	0.1
57658.04	2.0196103506228002e-07	0.1	57658.04	2.257786e-08	0.1	57658.04	4.023614e-06	0.1	57658.04	3.116512e-06	0.1	57658.04	2.609457417e-06	0.1	57658.04	2.434237e-08	0.1	57658.04	1.603714e-09	0.1
62688.52	1.4368387519161e-07	0.1	62688.52	2.271215e-08	0.1	62688.52	4.047546e-06	0.1	62688.52	3.135049e-06	0.1	62688.52	2.6249782229999997e-06	0.1	62688.52	2.448715e-08	0.1	62688.52	1.613253e-09	0.1
