Batch	m_SP	7	P2_L	R	W4_L	W3	P1	P3	P4											
2.948328e-13	9.7830493567554e-06	0.1	2.948328e-13	1.885242e-08	0.1	2.948328e-13	4.034265e-08	0.1	2.948328e-13	3.16564e-10	0.1	2.948328e-13	7.655658e-08	0.1	2.948328e-13	4.63747e-08	0.1	2.948328e-13	3.894611e-10	0.1
7.427751e-13	9.5116618605492e-06	0.1	7.427751e-13	4.683635e-08	0.1	7.427751e-13	1.002229e-07	0.1	7.427751e-13	7.863877e-10	0.1	7.427751e-13	1.901668e-07	0.1	7.427751e-13	1.15213e-07	0.1	7.427751e-13	9.674852e-10	0.1
1.730047e-12	8.939881728667501e-06	0.1	1.730047e-12	1.058077e-07	0.1	1.730047e-12	2.263981e-07	0.1	1.730047e-12	1.776165e-09	0.1	1.730047e-12	4.294689e-07	0.1	1.730047e-12	2.602825e-07	0.1	1.730047e-12	2.185253e-09	0.1
3.535077e-12	7.982123371889e-06	0.1	3.535077e-12	2.046279e-07	0.1	3.535077e-12	4.377948e-07	0.1	3.535077e-12	3.433829e-09	0.1	3.535077e-12	8.301211e-07	0.1	3.535077e-12	5.033944e-07	0.1	3.535077e-12	4.224898e-09	0.1
5.082245e-12	7.243500985761601e-06	0.1	5.082245e-12	2.808746e-07	0.1	5.082245e-12	6.00867e-07	0.1	5.082245e-12	4.711988e-09	0.1	5.082245e-12	1.138932e-06	0.1	5.082245e-12	6.909853e-07	0.1	5.082245e-12	5.797718e-09	0.1
6.63436e-12	6.571360398384899e-06	0.1	6.63436e-12	3.502881e-07	0.1	6.63436e-12	7.492961e-07	0.1	6.63436e-12	5.874915e-09	0.1	6.63436e-12	1.41981e-06	0.1	6.63436e-12	8.617748e-07	0.1	6.63436e-12	7.228847e-09	0.1
8.828105e-12	5.7266048665496e-06	0.1	8.828105e-12	4.375707e-07	0.1	8.828105e-12	9.358941e-07	0.1	8.828105e-12	7.336229e-09	0.1	8.828105e-12	1.772622e-06	0.1	8.828105e-12	1.076546e-06	0.1	8.828105e-12	9.027335e-09	0.1
1.201153e-11	4.6904785237205e-06	0.1	1.201153e-11	5.446975e-07	0.1	1.201153e-11	1.164847e-06	0.1	1.201153e-11	9.128145e-09	0.1	1.201153e-11	2.20503e-06	0.1	1.201153e-11	1.340171e-06	0.1	1.201153e-11	1.123296e-08	0.1
1.519495e-11	3.8421798593592e-06	0.1	1.519495e-11	6.324694e-07	0.1	1.519495e-11	1.352372e-06	0.1	1.519495e-11	1.059482e-08	0.1	1.519495e-11	2.55875e-06	0.1	1.519495e-11	1.556188e-06	0.1	1.519495e-11	1.30385e-08	0.1
1.98149e-11	2.8767928183943003e-06	0.1	1.98149e-11	7.324385e-07	0.1	1.98149e-11	1.565876e-06	0.1	1.98149e-11	1.226343e-08	0.1	1.98149e-11	2.960917e-06	0.1	1.98149e-11	1.802253e-06	0.1	1.98149e-11	1.509293e-08	0.1
