Batch	m_SP	7	P3	R	W4_L	W3	P1	P2_L	P4											
4.207015e-13	9.85718942712e-06	0.1	4.207015e-13	2.006993e-12	0.1	4.207015e-13	1.42671e-07	0.1	4.207015e-13	1.308908e-14	0.1	4.207015e-13	9.598661e-12	0.1	4.207015e-13	1.83043548e-11	0.1	4.207015e-13	1.810656e-19	0.1
1.174542e-12	9.60654593358e-06	0.1	1.174542e-12	5.531881e-12	0.1	1.174542e-12	3.9324449000000003e-07	0.1	1.174542e-12	3.607748e-14	0.1	1.174542e-12	2.645682e-11	0.1	1.174542e-12	5.04523517e-11	0.1	1.174542e-12	4.990718e-19	0.1
2.94514e-12	9.04262057289e-06	0.1	2.94514e-12	1.346256e-11	0.1	2.94514e-12	9.570124899999999e-07	0.1	2.94514e-12	8.779931e-14	0.1	2.94514e-12	6.438616e-11	0.1	2.94514e-12	1.22782493e-10	0.1	2.94514e-12	1.214557e-18	0.1
6.209795e-12	8.0881991172e-06	0.1	6.209795e-12	2.688492e-11	0.1	6.209795e-12	1.9111671e-06	0.1	6.209795e-12	1.753365e-13	0.1	6.209795e-12	1.285801e-10	0.1	6.209795e-12	2.45198312e-10	0.1	6.209795e-12	2.425488e-18	0.1
8.541692e-12	7.46878731138e-06	0.1	8.541692e-12	3.559594e-11	0.1	8.541692e-12	2.5304069e-06	0.1	8.541692e-12	2.321474e-13	0.1	8.541692e-12	1.702414e-10	0.1	8.541692e-12	3.24645221e-10	0.1	8.541692e-12	3.211372e-18	0.1
1.150302e-11	6.75007449858e-06	0.1	1.150302e-11	4.570344e-11	0.1	1.150302e-11	3.2489185999999996e-06	0.1	1.150302e-11	2.980659e-13	0.1	1.150302e-11	2.185817e-10	0.1	1.150302e-11	4.16828651e-10	0.1	1.150302e-11	4.123246e-18	0.1
1.577932e-11	5.8325016744e-06	0.1	1.577932e-11	5.86076e-11	0.1	1.577932e-11	4.1662361e-06	0.1	1.577932e-11	3.822235e-13	0.1	1.577932e-11	2.802972e-10	0.1	1.577932e-11	5.3451825e-10	0.1	1.577932e-11	5.287425e-18	0.1
2.139865e-11	4.81362886323e-06	0.1	2.139865e-11	7.293636e-11	0.1	2.139865e-11	5.1848241e-06	0.1	2.139865e-11	4.756719e-13	0.1	2.139865e-11	3.488261e-10	0.1	2.139865e-11	6.652007700000001e-10	0.1	2.139865e-11	6.580128e-18	0.1
2.751084e-11	3.9064029355800005e-06	0.1	2.751084e-11	8.5695e-11	0.1	2.751084e-11	6.0917962000000005e-06	0.1	2.751084e-11	5.588804e-13	0.1	2.751084e-11	4.098456e-10	0.1	2.751084e-11	7.8156319e-10	0.1	2.751084e-11	7.731179e-18	0.1
3.559448e-11	2.96365936311e-06	0.1	3.559448e-11	9.895313e-11	0.1	3.559448e-11	7.0342769e-06	0.1	3.559448e-11	6.453465e-13	0.1	3.559448e-11	4.732541e-10	0.1	3.559448e-11	9.0248122e-10	0.1	3.559448e-11	8.927293e-18	0.1
