Batch	m_SP	7	R	W4_L	W3	P1	P2_L	P3	P4											
2.751733e-13	9.827223726780001e-06	0.1	2.751733e-13	1.72608e-07	0.1	2.751733e-13	3.427782e-14	0.1	2.751733e-13	6.648714e-12	0.1	2.751733e-13	3.7687126e-11	0.1	2.751733e-13	8.126206e-12	0.1	2.751733e-13	3.520125e-18	0.1
6.873981e-13	9.57410825796e-06	0.1	6.873981e-13	4.256232e-07	0.1	6.873981e-13	8.452351e-14	0.1	6.873981e-13	1.639465e-11	0.1	6.873981e-13	9.2930323e-11	0.1	6.873981e-13	2.00379e-11	0.1	6.873981e-13	8.680054e-18	0.1
1.582412e-12	9.04676753142e-06	0.1	1.582412e-12	9.527551e-07	0.1	1.582412e-12	1.892054e-13	0.1	1.582412e-12	3.669932e-11	0.1	1.582412e-12	2.08023948e-10	0.1	1.582412e-12	4.485472e-11	0.1	1.582412e-12	1.943025e-17	0.1
3.212712e-12	8.1597084021e-06	0.1	3.212712e-12	1.8394618e-06	0.1	3.212712e-12	3.652944e-13	0.1	3.212712e-12	7.085451e-11	0.1	3.212712e-12	4.01627e-10	0.1	3.212712e-12	8.659996e-11	0.1	3.212712e-12	3.751353e-17	0.1
5.541712e-12	7.0412195871e-06	0.1	5.541712e-12	2.9575087000000003e-06	0.1	5.541712e-12	5.873246e-13	0.1	5.541712e-12	1.139207e-10	0.1	5.541712e-12	6.4574057e-10	0.1	5.541712e-12	1.392364e-10	0.1	5.541712e-12	6.031469e-17	0.1
7.069197e-12	6.392277076590001e-06	0.1	7.069197e-12	3.606193e-06	0.1	7.069197e-12	7.161454e-13	0.1	7.069197e-12	1.389075e-10	0.1	7.069197e-12	7.8737405e-10	0.1	7.069197e-12	1.697758e-10	0.1	7.069197e-12	7.35438e-17	0.1
8.876481e-12	5.70126698676e-06	0.1	8.876481e-12	4.2969294e-06	0.1	8.876481e-12	8.533172e-13	0.1	8.876481e-12	1.655141e-10	0.1	8.876481e-12	9.381889899999999e-10	0.1	8.876481e-12	2.02295e-10	0.1	8.876481e-12	8.763051e-17	0.1
1.110346e-11	4.95164148309e-06	0.1	1.110346e-11	5.046258399999999e-06	0.1	1.110346e-11	1.002125e-12	0.1	1.110346e-11	1.943776e-10	0.1	1.110346e-11	1.10179647e-09	0.1	1.110346e-11	2.375726e-10	0.1	1.110346e-11	1.029121e-16	0.1
1.522105e-11	3.8155058445599995e-06	0.1	1.522105e-11	6.1819435e-06	0.1	1.522105e-11	1.227658e-12	0.1	1.522105e-11	2.381232e-10	0.1	1.522105e-11	1.3497622599999998e-09	0.1	1.522105e-11	2.910395e-10	0.1	1.522105e-11	1.26073e-16	0.1
1.933864e-11	2.94005259918e-06	0.1	1.933864e-11	7.0570500000000005e-06	0.1	1.933864e-11	1.401444e-12	0.1	1.933864e-11	2.718316e-10	0.1	1.933864e-11	1.54083197e-09	0.1	1.933864e-11	3.322386e-10	0.1	1.933864e-11	1.439197e-16	0.1
2.345623e-11	2.2654683450900002e-06	0.1	2.345623e-11	7.731367e-06	0.1	2.345623e-11	1.535355e-12	0.1	2.345623e-11	2.978057e-10	0.1	2.345623e-11	1.68806167e-09	0.1	2.345623e-11	3.639847e-10	0.1	2.345623e-11	1.576716e-16	0.1
2.757382e-11	1.74566454318e-06	0.1	2.757382e-11	8.250964e-06	0.1	2.757382e-11	1.638541e-12	0.1	2.757382e-11	3.178201e-10	0.1	2.757382e-11	1.80151039e-09	0.1	2.757382e-11	3.884468e-10	0.1	2.757382e-11	1.682681e-16	0.1
3.169141e-11	1.34512854858e-06	0.1	3.169141e-11	8.651342e-06	0.1	3.169141e-11	1.718051e-12	0.1	3.169141e-11	3.332423e-10	0.1	3.169141e-11	1.8889290999999997e-09	0.1	3.169141e-11	4.072962e-10	0.1	3.169141e-11	1.764333e-16	0.1
3.5809e-11	1.0364936349600002e-06	0.1	3.5809e-11	8.959855e-06	0.1	3.5809e-11	1.779318e-12	0.1	3.5809e-11	3.45126e-10	0.1	3.5809e-11	1.95628947e-09	0.1	3.5809e-11	4.218206e-10	0.1	3.5809e-11	1.82725e-16	0.1
