Batch	m_SP	7	W3	R	W4_L	P1	P2_L	P3	P4											
1.233389e-08	0.9845895	0.1	1.233389e-08	5.925004e-06	0.1	1.233389e-08	9.533916e-06	0.1	1.233389e-08	0.003635623	0.1	1.233389e-08	4.2986853e-05	0.1	1.233389e-08	7.619604e-06	0.1	1.233389e-08	0.003998766	0.1
2.355897e-08	0.9708673	0.1	2.355897e-08	1.119944e-05	0.1	2.355897e-08	1.802139e-05	0.1	2.355897e-08	0.006875855	0.1	2.355897e-08	8.125386099999999e-05	0.1	2.355897e-08	1.440257e-05	0.1	2.355897e-08	0.007558462	0.1
3.663482e-08	0.955236	0.1	3.663482e-08	1.720634e-05	0.1	3.663482e-08	2.76879e-05	0.1	3.663482e-08	0.01056957	0.1	3.663482e-08	0.000124835221	0.1	3.663482e-08	2.212749e-05	0.1	3.663482e-08	0.0116125	0.1
5.094452e-08	0.938552	0.1	5.094452e-08	2.361654e-05	0.1	5.094452e-08	3.800374e-05	0.1	5.094452e-08	0.01451454	0.1	5.094452e-08	0.000171342715	0.1	5.094452e-08	3.037106e-05	0.1	5.094452e-08	0.01593871	0.1
6.837778e-08	0.9188007	0.1	6.837778e-08	3.120391e-05	0.1	6.837778e-08	5.021434e-05	0.1	6.837778e-08	0.01918732	0.1	6.837778e-08	0.00022639097	0.1	6.837778e-08	4.012848e-05	0.1	6.837778e-08	0.02105939	0.1
9.04964e-08	0.89461	0.1	9.04964e-08	4.049531e-05	0.1	9.04964e-08	6.516764e-05	0.1	9.04964e-08	0.02491311	0.1	9.04964e-08	0.00029380249	0.1	9.04964e-08	5.207728e-05	0.1	9.04964e-08	0.02733011	0.1
1.12615e-07	0.871343	0.1	1.12615e-07	4.943096e-05	0.1	1.12615e-07	7.954869e-05	0.1	1.12615e-07	0.03042226	0.1	1.12615e-07	0.00035863302	0.1	1.12615e-07	6.35686e-05	0.1	1.12615e-07	0.03336073	0.1
1.347336e-07	0.8489507	0.1	1.347336e-07	5.803008e-05	0.1	1.347336e-07	9.338827e-05	0.1	1.347336e-07	0.0357255	0.1	1.347336e-07	0.00042102203	0.1	1.347336e-07	7.462713e-05	0.1	1.347336e-07	0.03916423	0.1
1.568523e-07	0.8273872	0.1	1.568523e-07	6.631051e-05	0.1	1.568523e-07	0.0001067151	0.1	1.568523e-07	0.0408332	0.1	1.568523e-07	0.00048109884	0.1	1.568523e-07	8.527582e-05	0.1	1.568523e-07	0.04475264	0.1
1.789709e-07	0.8066097	0.1	1.789709e-07	7.428888e-05	0.1	1.789709e-07	0.0001195558	0.1	1.789709e-07	0.04575518	0.1	1.789709e-07	0.0005389842	0.1	1.789709e-07	9.553606e-05	0.1	1.789709e-07	0.0501372	0.1
