Batch	m_SP	7	W4_L	R	W3	P1	P2_L	P3	P4											
0.000151446	0.9888459	0.1	0.000151446	9.623277e-05	0.1	0.000151446	2.722647e-06	0.1	0.000151446	0.003322027	0.1	0.000151446	0.00145396103	0.1	0.000151446	9.797249e-05	0.1	0.000151446	6.811453e-10	0.1
0.0001925122	0.9861361	0.1	0.0001925122	0.0001220768	0.1	0.0001925122	3.454971e-06	0.1	0.0001925122	0.00422926	0.1	0.0001925122	0.0018444334999999999	0.1	0.0001925122	0.0001242838	0.1	0.0001925122	8.640734e-10	0.1
0.0002335785	0.9834343000000001	0.1	0.0002335785	0.0001478147	0.1	0.0002335785	4.184303e-06	0.1	0.0002335785	0.005135967	0.1	0.0002335785	0.00223330188	0.1	0.0002335785	0.0001504869	0.1	0.0002335785	1.04625e-09	0.1
0.0002746447	0.9807412	0.1	0.0002746447	0.000173447	0.1	0.0002746447	4.910653e-06	0.1	0.0002746447	0.006041229	0.1	0.0002746447	0.00262057426	0.1	0.0002746447	0.0001765826	0.1	0.0002746447	1.227679e-09	0.1
0.0003173628	0.9779499	0.1	0.0003173628	0.0001999988	0.1	0.0003173628	5.663069e-06	0.1	0.0003173628	0.006980673	0.1	0.0003173628	0.0030217400299999996	0.1	0.0003173628	0.0002036144	0.1	0.0003173628	1.415617e-09	0.1
0.0003666881	0.9747401	0.1	0.0003666881	0.0002305169	0.1	0.0003666881	6.527888e-06	0.1	0.0003666881	0.008061952	0.1	0.0003666881	0.00348283121	0.1	0.0003666881	0.0002346842	0.1	0.0003666881	1.631629e-09	0.1
0.0004160135	0.9715449	0.1	0.0004160135	0.0002608854	0.1	0.0004160135	7.388473e-06	0.1	0.0004160135	0.009139019	0.1	0.0004160135	0.00394166348	0.1	0.0004160135	0.0002656017	0.1	0.0004160135	1.846582e-09	0.1
0.000469471	0.9680989	0.1	0.000469471	0.0002936303	0.1	0.000469471	8.316406e-06	0.1	0.000469471	0.01030117	0.1	0.000469471	0.00443639919	0.1	0.000469471	0.0002989386	0.1	0.000469471	2.078355e-09	0.1
0.0005291268	0.9642742	0.1	0.0005291268	0.0003299676	0.1	0.0005291268	9.346142e-06	0.1	0.0005291268	0.01159146	0.1	0.0005291268	0.0049854120400000005	0.1	0.0005291268	0.0003359328	0.1	0.0005291268	2.335556e-09	0.1
0.0005887825	0.9604716	0.1	0.0005887825	0.0003660912	0.1	0.0005887825	1.036982e-05	0.1	0.0005887825	0.01287457	0.1	0.0005887825	0.00553119545	0.1	0.0005887825	0.0003727094	0.1	0.0005887825	2.591244e-09	0.1
0.0006611642	0.9558873999999999	0.1	0.0006611642	0.0004096363	0.1	0.0006611642	1.160382e-05	0.1	0.0006611642	0.01442162	0.1	0.0006611642	0.00618910875	0.1	0.0006611642	0.0004170418	0.1	0.0006611642	2.899463e-09	0.1
0.0007335458	0.9513354999999999	0.1	0.0007335458	0.0004528726	0.1	0.0007335458	1.282907e-05	0.1	0.0007335458	0.01595791	0.1	0.0007335458	0.00684235851	0.1	0.0007335458	0.0004610598	0.1	0.0007335458	3.205497e-09	0.1
0.0008217739	0.9458304	0.1	0.0008217739	0.0005051617	0.1	0.0008217739	1.431086e-05	0.1	0.0008217739	0.01781601	0.1	0.0008217739	0.00763238356	0.1	0.0008217739	0.0005142942	0.1	0.0008217739	3.575607e-09	0.1
0.0009139077	0.9401318999999999	0.1	0.0009139077	0.0005592871	0.1	0.0009139077	1.584469e-05	0.1	0.0009139077	0.01973945	0.1	0.0009139077	0.0084501519	0.1	0.0009139077	0.000569398	0.1	0.0009139077	3.958715e-09	0.1
0.001021664	0.9335314	0.1	0.001021664	0.0006219783	0.1	0.001021664	1.762126e-05	0.1	0.001021664	0.02196734	0.1	0.001021664	0.0093973409	0.1	0.001021664	0.0006332226	0.1	0.001021664	4.402453e-09	0.1
0.001147883	0.9258872	0.1	0.001147883	0.0006945839	0.1	0.001147883	1.967879e-05	0.1	0.001147883	0.02454759	0.1	0.001147883	0.0104943222	0.1	0.001147883	0.0007071408	0.1	0.001147883	4.916367e-09	0.1
0.001292068	0.9172677	0.1	0.001292068	0.0007764529	0.1	0.001292068	2.199883e-05	0.1	0.001292068	0.02745706	0.1	0.001292068	0.0117312677	0.1	0.001292068	0.0007904898	0.1	0.001292068	5.495848e-09	0.1
0.001456282	0.9075945	0.1	0.001456282	0.0008683287	0.1	0.001456282	2.460244e-05	0.1	0.001456282	0.03072215	0.1	0.001456282	0.013119393	0.1	0.001456282	0.0008840265	0.1	0.001456282	6.146159e-09	0.1
0.001674847	0.8949514999999999	0.1	0.001674847	0.0009884123	0.1	0.001674847	2.800542e-05	0.1	0.001674847	0.0349897	0.1	0.001674847	0.014933712	0.1	0.001674847	0.001006281	0.1	0.001674847	6.996129e-09	0.1
0.001950292	0.8793842000000001	0.1	0.001950292	0.001136271	0.1	0.001950292	3.21955e-05	0.1	0.001950292	0.04024432	0.1	0.001950292	0.0171676768	0.1	0.001950292	0.001156813	0.1	0.001950292	8.042695e-09	0.1
0.002314248	0.8594168	0.1	0.002314248	0.001325921	0.1	0.002314248	3.75699e-05	0.1	0.002314248	0.04698415	0.1	0.002314248	0.0200330686	0.1	0.002314248	0.001349892	0.1	0.002314248	9.385071e-09	0.1
0.00288057	0.8296405	0.1	0.00288057	0.001608738	0.1	0.00288057	4.558449e-05	0.1	0.00288057	0.05703495	0.1	0.00288057	0.024306097800000002	0.1	0.00288057	0.001637822	0.1	0.00288057	1.138689e-08	0.1
