Batch	m_SP	13	P5	W1	W2	W3	W4	W5	W6	R	P1	P2	P3	P4	P6																							
5.128543e-13	9.87447525426e-06	0.1	5.128543e-13	6.686759e-09	0.1	5.128543e-13	6.096749e-15	0.1	5.128543e-13	1.801156e-15	0.1	5.128543e-13	4.533747e-08	0.1	5.128543e-13	7.338873e-08	0.1	5.128543e-13	5.888955e-12	0.1	5.128543e-13	3.436538e-13	0.1	5.128543e-13	2.412777e-12	0.1	5.128543e-13	4.986496e-12	0.1	5.128543e-13	3.842092e-13	0.1	5.128543e-13	2.059852e-21	0.1	5.128543e-13	7.691591e-23	0.1
1.558748e-12	9.62354476359e-06	0.1	1.558748e-12	2.006467e-08	0.1	1.558748e-12	1.829424e-14	0.1	1.558748e-12	5.405127e-15	0.1	1.558748e-12	1.360422e-07	0.1	1.558748e-12	2.202144e-07	0.1	1.558748e-12	1.779079e-11	0.1	1.558748e-12	1.031186e-12	0.1	1.558748e-12	7.245875e-12	0.1	1.558748e-12	1.463469e-11	0.1	1.558748e-12	1.129027e-12	0.1	1.558748e-12	6.180908e-21	0.1	1.558748e-12	2.289487e-22	0.1
4.173505e-12	9.023755761540001e-06	0.1	4.173505e-12	5.204131e-08	0.1	4.173505e-12	4.744932e-14	0.1	4.173505e-12	1.402213e-14	0.1	4.173505e-12	3.528497e-07	0.1	4.173505e-12	5.711651e-07	0.1	4.173505e-12	4.689407e-11	0.1	4.173505e-12	2.674562e-12	0.1	4.173505e-12	1.883072e-11	0.1	4.173505e-12	3.590696e-11	0.1	4.173505e-12	2.778794e-12	0.1	4.173505e-12	1.603127e-20	0.1	4.173505e-12	5.81874e-22	0.1
8.846099e-12	8.04349056429e-06	0.1	8.846099e-12	1.043027e-07	0.1	8.846099e-12	9.509903e-14	0.1	8.846099e-12	2.811343e-14	0.1	8.846099e-12	7.071913e-07	0.1	8.846099e-12	1.144745e-06	0.1	8.846099e-12	9.648461e-11	0.1	8.846099e-12	5.36042e-12	0.1	8.846099e-12	3.786507e-11	0.1	8.846099e-12	6.513924e-11	0.1	8.846099e-12	5.068691e-12	0.1	8.846099e-12	3.213026e-20	0.1	8.846099e-12	1.123791e-21	0.1
1.207826e-11	7.42844171484e-06	0.1	1.207826e-11	1.370932e-07	0.1	1.207826e-11	1.249959e-13	0.1	1.207826e-11	3.695998e-14	0.1	1.207826e-11	9.29517e-07	0.1	1.207826e-11	1.504627e-06	0.1	1.207826e-11	1.289136e-10	0.1	1.207826e-11	7.04561e-12	0.1	1.207826e-11	4.987309e-11	0.1	1.207826e-11	7.988929e-11	0.1	1.207826e-11	6.239472e-12	0.1	1.207826e-11	4.223126e-20	0.1	1.207826e-11	1.43892e-21	0.1
1.618801e-11	6.713838860940001e-06	0.1	1.618801e-11	1.751915e-07	0.1	1.618801e-11	1.597321e-13	0.1	1.618801e-11	4.724369e-14	0.1	1.618801e-11	1.18783e-06	0.1	1.618801e-11	1.922763e-06	0.1	1.618801e-11	1.679002e-10	0.1	1.618801e-11	9.003573e-12	0.1	1.618801e-11	6.388979e-11	0.1	1.618801e-11	9.345179e-11	0.1	1.618801e-11	7.33239e-12	0.1	1.618801e-11	5.396728e-20	0.1	1.618801e-11	1.777442e-21	0.1
2.212431e-11	5.801242986990001e-06	0.1	2.212431e-11	2.238457e-07	0.1	2.212431e-11	2.040925e-13	0.1	2.212431e-11	6.038507e-14	0.1	2.212431e-11	1.517715e-06	0.1	2.212431e-11	2.456753e-06	0.1	2.212431e-11	2.197959e-10	0.1	2.212431e-11	1.150402e-11	0.1	2.212431e-11	8.189471e-11	0.1	2.212431e-11	1.050146e-10	0.1	2.212431e-11	8.292942e-12	0.1	2.212431e-11	6.895497e-20	0.1	2.212431e-11	2.159675e-21	0.1
2.992285e-11	4.7881381181400005e-06	0.1	2.992285e-11	2.778589e-07	0.1	2.992285e-11	2.533386e-13	0.1	2.992285e-11	7.498527e-14	0.1	2.992285e-11	1.883934e-06	0.1	2.992285e-11	3.049557e-06	0.1	2.992285e-11	2.802888e-10	0.1	2.992285e-11	1.427986e-11	0.1	2.992285e-11	1.020258e-10	0.1	2.992285e-11	1.099774e-10	0.1	2.992285e-11	8.755661e-12	0.1	2.992285e-11	8.559336e-20	0.1	2.992285e-11	2.503694e-21	0.1
3.840828e-11	3.88571214249e-06	0.1	3.840828e-11	3.259716e-07	0.1	3.840828e-11	2.972048e-13	0.1	3.840828e-11	8.800114e-14	0.1	3.840828e-11	2.210147e-06	0.1	3.840828e-11	3.577602e-06	0.1	3.840828e-11	3.368579e-10	0.1	3.840828e-11	1.675245e-11	0.1	3.840828e-11	1.200909e-10	0.1	3.840828e-11	1.070624e-10	0.1	3.840828e-11	8.595364e-12	0.1	3.840828e-11	1.004141e-19	0.1	3.840828e-11	2.718835e-21	0.1
4.964123e-11	2.9471875278300005e-06	0.1	4.964123e-11	3.760092e-07	0.1	4.964123e-11	3.428257e-13	0.1	4.964123e-11	1.01549e-13	0.1	4.964123e-11	2.549411e-06	0.1	4.964123e-11	4.126772e-06	0.1	4.964123e-11	3.985449e-10	0.1	4.964123e-11	1.932395e-11	0.1	4.964123e-11	1.390205e-10	0.1	4.964123e-11	9.62304e-11	0.1	4.964123e-11	7.806426e-12	0.1	4.964123e-11	1.158277e-19	0.1	4.964123e-11	2.81846e-21	0.1
