Batch	m_SP	13	R	W1	W2	W3	W4	W5	W6	P1	P2	P3	P4	P5	P6																							
4.489782e-12	9.777893220090001e-06	0.1	4.489782e-12	1.332724e-08	0.1	4.489782e-12	1.377217e-12	0.1	4.489782e-12	8.460056e-12	0.1	4.489782e-12	7.771655e-08	0.1	4.489782e-12	1.259173e-07	0.1	4.489782e-12	1.259171e-10	0.1	4.489782e-12	1.26409e-09	0.1	4.489782e-12	2.724925e-09	0.1	4.489782e-12	7.525514e-10	0.1	4.489782e-12	4.466122e-14	0.1	4.489782e-12	1.73136e-10	0.1	4.489782e-12	7.771445e-16	0.1
9.957611e-12	9.514169857350001e-06	0.1	9.957611e-12	2.915264e-08	0.1	9.957611e-12	3.013215e-12	0.1	9.957611e-12	1.85098e-11	0.1	9.957611e-12	1.70042e-07	0.1	9.957611e-12	2.754954e-07	0.1	9.957611e-12	2.754946e-10	0.1	9.957611e-12	2.765707e-09	0.1	9.957611e-12	5.961875e-09	0.1	9.957611e-12	1.646511e-09	0.1	9.957611e-12	9.771448e-14	0.1	9.957611e-12	3.788051e-10	0.1	9.957611e-12	1.700318e-15	0.1
2.062755e-11	9.01984680063e-06	0.1	2.062755e-11	5.879671e-08	0.1	2.062755e-11	6.079714e-12	0.1	2.062755e-11	3.734704e-11	0.1	2.062755e-11	3.431143e-07	0.1	2.062755e-11	5.55866e-07	0.1	2.062755e-11	5.558625e-10	0.1	2.062755e-11	5.580338e-09	0.1	2.062755e-11	1.202921e-08	0.1	2.062755e-11	3.322147e-09	0.1	2.062755e-11	1.971575e-13	0.1	2.062755e-11	7.643108e-10	0.1	2.062755e-11	3.430713e-15	0.1
3.959633e-11	8.20360996308e-06	0.1	3.959633e-11	1.076847e-07	0.1	3.959633e-11	1.114315e-11	0.1	3.959633e-11	6.845157e-11	0.1	3.959633e-11	6.289518e-07	0.1	3.959633e-11	1.018825e-06	0.1	3.959633e-11	1.018813e-09	0.1	3.959633e-11	1.022792e-08	0.1	3.959633e-11	2.204774e-08	0.1	3.959633e-11	6.088996e-09	0.1	3.959633e-11	3.6136e-13	0.1	3.959633e-11	1.400867e-09	0.1	3.959633e-11	6.287983e-15	0.1
6.59301e-11	7.191448365637899e-06	0.1	6.59301e-11	1.681805e-07	0.1	6.59301e-11	1.742189e-11	0.1	6.59301e-11	1.070223e-10	0.1	6.59301e-11	9.835167e-07	0.1	6.59301e-11	1.592919e-06	0.1	6.59301e-11	1.592886e-09	0.1	6.59301e-11	1.599108e-08	0.1	6.59301e-11	3.447104e-08	0.1	6.59301e-11	9.519979e-09	0.1	6.59301e-11	5.649766e-13	0.1	6.59301e-11	2.190217e-09	0.1	6.59301e-11	9.83109e-15	0.1
1.02755e-10	5.9819715814768e-06	0.1	1.02755e-10	2.402289e-07	0.1	1.02755e-10	2.492448e-11	0.1	1.02755e-10	1.531124e-10	0.1	1.02755e-10	1.407425e-06	0.1	1.02755e-10	2.278948e-06	0.1	1.02755e-10	2.278874e-09	0.1	1.02755e-10	2.287774e-08	0.1	1.02755e-10	4.93162e-08	0.1	1.02755e-10	1.361982e-08	0.1	1.02755e-10	8.082872e-13	0.1	1.02755e-10	3.133448e-09	0.1	1.02755e-10	1.406491e-14	0.1
1.395799e-10	4.975907742824201e-06	0.1	1.395799e-10	2.998825e-07	0.1	1.395799e-10	3.116507e-11	0.1	1.395799e-10	1.914511e-10	0.1	1.395799e-10	1.760296e-06	0.1	1.395799e-10	2.849621e-06	0.1	1.395799e-10	2.849491e-09	0.1	1.395799e-10	2.860618e-08	0.1	1.395799e-10	6.166467e-08	0.1	1.395799e-10	1.703013e-08	0.1	1.395799e-10	1.010677e-12	0.1	1.395799e-10	3.918044e-09	0.1	1.395799e-10	1.758667e-14	0.1
1.953814e-10	3.7643429797519e-06	0.1	1.953814e-10	3.712101e-07	0.1	1.953814e-10	3.868004e-11	0.1	1.953814e-10	2.376213e-10	0.1	1.953814e-10	2.185717e-06	0.1	1.953814e-10	3.536899e-06	0.1	1.953814e-10	3.536665e-09	0.1	1.953814e-10	3.550474e-08	0.1	1.953814e-10	7.653546e-08	0.1	1.953814e-10	2.113705e-08	0.1	1.953814e-10	1.254408e-12	0.1	1.953814e-10	4.862903e-09	0.1	1.953814e-10	2.18278e-14	0.1
2.511829e-10	2.8477779523686e-06	0.1	2.511829e-10	4.245676e-07	0.1	2.511829e-10	4.43648e-11	0.1	2.511829e-10	2.725501e-10	0.1	2.511829e-10	2.50811e-06	0.1	2.511829e-10	4.05688e-06	0.1	2.511829e-10	4.056524e-09	0.1	2.511829e-10	4.072359e-08	0.1	2.511829e-10	8.778541e-08	0.1	2.511829e-10	2.424398e-08	0.1	2.511829e-10	1.438794e-12	0.1	2.511829e-10	5.577701e-09	0.1	2.511829e-10	2.503627e-14	0.1
3.069844e-10	2.154383025069e-06	0.1	3.069844e-10	4.64334e-07	0.1	3.069844e-10	4.8665e-11	0.1	3.069844e-10	2.989747e-10	0.1	3.069844e-10	2.752558e-06	0.1	3.069844e-10	4.450299e-06	0.1	3.069844e-10	4.449806e-09	0.1	3.069844e-10	4.467173e-08	0.1	3.069844e-10	9.629615e-08	0.1	3.069844e-10	2.659442e-08	0.1	3.069844e-10	1.578284e-12	0.1	3.069844e-10	6.118456e-09	0.1	3.069844e-10	2.746352e-14	0.1
3.627859e-10	1.6298203756626002e-06	0.1	3.627859e-10	4.93822e-07	0.1	3.627859e-10	5.191774e-11	0.1	3.627859e-10	3.189656e-10	0.1	3.627859e-10	2.938037e-06	0.1	3.627859e-10	4.747972e-06	0.1	3.627859e-10	4.747332e-09	0.1	3.627859e-10	4.765856e-08	0.1	3.627859e-10	1.027346e-07	0.1	3.627859e-10	2.837256e-08	0.1	3.627859e-10	1.68381e-12	0.1	3.627859e-10	6.527544e-09	0.1	3.627859e-10	2.929977e-14	0.1
4.185874e-10	1.232982423451e-06	0.1	4.185874e-10	5.155377e-07	0.1	4.185874e-10	5.437807e-11	0.1	4.185874e-10	3.340895e-10	0.1	4.185874e-10	3.078901e-06	0.1	4.185874e-10	4.973211e-06	0.1	4.185874e-10	4.972416e-09	0.1	4.185874e-10	4.991814e-08	0.1	4.185874e-10	1.076054e-07	0.1	4.185874e-10	2.971774e-08	0.1	4.185874e-10	1.763642e-12	0.1	4.185874e-10	6.837025e-09	0.1	4.185874e-10	3.068892e-14	0.1
4.743889e-10	9.327679856695e-07	0.1	4.743889e-10	5.313771e-07	0.1	4.743889e-10	5.623893e-11	0.1	4.743889e-10	3.455313e-10	0.1	4.743889e-10	3.186011e-06	0.1	4.743889e-10	5.143653e-06	0.1	4.743889e-10	5.142698e-09	0.1	4.743889e-10	5.162755e-08	0.1	4.743889e-10	1.112903e-07	0.1	4.743889e-10	3.073539e-08	0.1	4.743889e-10	1.824036e-12	0.1	4.743889e-10	7.071151e-09	0.1	4.743889e-10	3.173983e-14	0.1
5.301904e-10	7.056519022771801e-07	0.1	5.301904e-10	5.427744e-07	0.1	5.301904e-10	5.764629e-11	0.1	5.301904e-10	3.541876e-10	0.1	5.301904e-10	3.267581e-06	0.1	5.301904e-10	5.272639e-06	0.1	5.301904e-10	5.27152e-09	0.1	5.301904e-10	5.292074e-08	0.1	5.301904e-10	1.140779e-07	0.1	5.301904e-10	3.150526e-08	0.1	5.301904e-10	1.869725e-12	0.1	5.301904e-10	7.248271e-09	0.1	5.301904e-10	3.253485e-14	0.1
5.859919e-10	5.3383545482282e-07	0.1	5.859919e-10	5.508147e-07	0.1	5.859919e-10	5.871056e-11	0.1	5.859919e-10	3.607366e-10	0.1	5.859919e-10	3.329826e-06	0.1	5.859919e-10	5.370265e-06	0.1	5.859919e-10	5.368978e-09	0.1	5.859919e-10	5.389907e-08	0.1	5.859919e-10	1.161868e-07	0.1	5.859919e-10	3.208767e-08	0.1	5.859919e-10	1.90429e-12	0.1	5.859919e-10	7.382264e-09	0.1	5.859919e-10	3.31363e-14	0.1
6.441103e-10	3.9920202809778e-07	0.1	6.441103e-10	5.56502e-07	0.1	6.441103e-10	5.954408e-11	0.1	6.441103e-10	3.658688e-10	0.1	6.441103e-10	3.379167e-06	0.1	6.441103e-10	5.44681e-06	0.1	6.441103e-10	5.445348e-09	0.1	6.441103e-10	5.466568e-08	0.1	6.441103e-10	1.178392e-07	0.1	6.441103e-10	3.254404e-08	0.1	6.441103e-10	1.931374e-12	0.1	6.441103e-10	7.487259e-09	0.1	6.441103e-10	3.360759e-14	0.1
