Batch	m_SP	13	W2	W1	W3	W4	W5	W6	R	P1	P2	P3	P4	P5	P6																							
0.1308583	0.9870898	0.1	0.1308583	5.745206e-11	0.1	0.1308583	0.01291017	0.1	0.1308583	1.998455e-08	0.1	0.1308583	2.513709e-08	0.1	0.1308583	4.892953e-09	0.1	0.1308583	6.305555e-14	0.1	0.1308583	1.881579e-09	0.1	0.1308583	1.702617e-12	0.1	0.1308583	6.563558e-14	0.1	0.1308583	2.561432e-16	0.1	0.1308583	9.060086e-15	0.1	0.1308583	5.095879e-26	0.1
0.2615079	0.9743664	0.1	0.2615079	1.131474e-10	0.1	0.2615079	0.02563346	0.1	0.2615079	3.96943e-08	0.1	0.2615079	4.989678e-08	0.1	0.2615079	1.006056e-08	0.1	0.2615079	1.251974e-13	0.1	0.2615079	3.754659e-09	0.1	0.2615079	3.377323e-12	0.1	0.2615079	1.302007e-13	0.1	0.2615079	5.086185e-16	0.1	0.2615079	1.797878e-14	0.1	0.2615079	1.011448e-25	0.1
0.4833417	0.9531376	0.1	0.4833417	2.06075e-10	0.1	0.4833417	0.04686223	0.1	0.4833417	7.257995e-08	0.1	0.4833417	9.120822e-08	0.1	0.4833417	1.947097e-08	0.1	0.4833417	2.288761e-13	0.1	0.4833417	6.922642e-09	0.1	0.4833417	6.155152e-12	0.1	0.4833417	2.373274e-13	0.1	0.4833417	9.299629e-16	0.1	0.4833417	3.28084e-14	0.1	0.4833417	1.847033e-25	0.1
0.8202395	0.9217787	0.1	0.8202395	3.433459e-10	0.1	0.8202395	0.07822097	0.1	0.8202395	1.21158e-07	0.1	0.8202395	1.522328e-07	0.1	0.8202395	3.525949e-08	0.1	0.8202395	3.820085e-13	0.1	0.8202395	1.170474e-08	0.1	0.8202395	1.019074e-11	0.1	0.8202395	3.931008e-13	0.1	0.8202395	1.552582e-15	0.1	0.8202395	5.450302e-14	0.1	0.8202395	3.074019e-25	0.1
1.354322	0.8741662	0.1	1.354322	5.517658e-10	0.1	1.354322	0.1258332	0.1	1.354322	1.949147e-07	0.1	1.354322	2.44887e-07	0.1	1.354322	6.385726e-08	0.1	1.354322	6.144303e-13	0.1	1.354322	1.921649e-08	0.1	1.354322	1.605651e-11	0.1	1.354322	6.200758e-13	0.1	1.354322	2.498438e-15	0.1	1.354322	8.662034e-14	0.1	1.354322	4.90833e-25	0.1
2.091914	0.8124281	0.1	2.091914	8.220204e-10	0.1	2.091914	0.1875711	0.1	2.091914	2.905537e-07	0.1	2.091914	3.650302e-07	0.1	2.091914	1.101751e-07	0.1	2.091914	9.155629e-13	0.1	2.091914	2.94583e-08	0.1	2.091914	2.293652e-11	0.1	2.091914	8.87861e-13	0.1	2.091914	3.725963e-15	0.1	2.091914	1.259412e-13	0.1	2.091914	7.204923e-25	0.1
3.128516	0.732961	0.1	3.128516	1.169884e-09	0.1	3.128516	0.2670377	0.1	3.128516	4.136573e-07	0.1	3.128516	5.196748e-07	0.1	3.128516	1.876671e-07	0.1	3.128516	1.302492e-12	0.1	3.128516	4.36123e-08	0.1	3.128516	3.01232e-11	0.1	3.128516	1.17124e-12	0.1	3.128516	5.308015e-15	0.1	3.128516	1.709893e-13	0.1	3.128516	9.96055e-25	0.1
4.23987	0.6563766	0.1	4.23987	1.505131e-09	0.1	4.23987	0.3436217	0.1	4.23987	5.32296e-07	0.1	4.23987	6.687106e-07	0.1	4.23987	2.853765e-07	0.1	4.23987	1.674236e-12	0.1	4.23987	5.850504e-08	0.1	4.23987	3.495088e-11	0.1	4.23987	1.366555e-12	0.1	4.23987	6.835274e-15	0.1	4.23987	2.069206e-13	0.1	4.23987	1.23367e-24	0.1
5.351225	0.5877943	0.1	5.351225	1.80535e-09	0.1	5.351225	0.4122037	0.1	5.351225	6.385392e-07	0.1	5.351225	8.021748e-07	0.1	5.351225	3.966758e-07	0.1	5.351225	2.005689e-12	0.1	5.351225	7.313689e-08	0.1	5.351225	3.749731e-11	0.1	5.351225	1.474702e-12	0.1	5.351225	8.205626e-15	0.1	5.351225	2.321255e-13	0.1	5.351225	1.419082e-24	0.1
6.462579	0.5263779	0.1	6.462579	2.074202e-09	0.1	6.462579	0.4736197	0.1	6.462579	7.336818e-07	0.1	6.462579	9.216944e-07	0.1	6.462579	5.201438e-07	0.1	6.462579	2.300849e-12	0.1	6.462579	8.753617e-08	0.1	6.462579	3.847383e-11	0.1	6.462579	1.521736e-12	0.1	6.462579	9.435454e-15	0.1	6.462579	2.489552e-13	0.1	6.462579	1.561228e-24	0.1
7.573933	0.4713787	0.1	7.573933	2.314963e-09	0.1	7.573933	0.5286186	0.1	7.573933	8.188835e-07	0.1	7.573933	1.028726e-06	0.1	7.573933	6.545078e-07	0.1	7.573933	2.563345e-12	0.1	7.573933	1.017282e-07	0.1	7.573933	3.843967e-11	0.1	7.573933	1.528476e-12	0.1	7.573933	1.053943e-14	0.1	7.573933	2.594831e-13	0.1	7.573933	1.668418e-24	0.1
8.730006	0.420256	0.1	8.730006	2.538756e-09	0.1	8.730006	0.579741	0.1	8.730006	8.980805e-07	0.1	8.730006	1.128215e-06	0.1	8.730006	8.046163e-07	0.1	8.730006	2.805271e-12	0.1	8.730006	1.162959e-07	0.1	8.730006	3.775016e-11	0.1	8.730006	1.508597e-12	0.1	8.730006	1.15684e-14	0.1	8.730006	2.655105e-13	0.1	8.730006	1.750356e-24	0.1
10.06495	0.3680814	0.1	10.06495	2.767154e-09	0.1	10.06495	0.6319151	0.1	10.06495	9.78907e-07	0.1	10.06495	1.22975e-06	0.1	10.06495	9.895917e-07	0.1	10.06495	3.049432e-12	0.1	10.06495	1.32899e-07	0.1	10.06495	3.648705e-11	0.1	10.06495	1.465581e-12	0.1	10.06495	1.262206e-14	0.1	10.06495	2.679928e-13	0.1	10.06495	1.815593e-24	0.1
