	T[K]	W1	W2	W3	W4	W5	W6
600 0.00095 0.15924 0.06185 0.33887 0.42260 0.01649
700 0.00187 0.16440 0.14058 0.28036 0.36821 0.04458
800 0.00194 0.01310 0.35626 0.15253 0.20895 0.26722
900 0.00139 0.02069 0.26935 0.06605 0.09325 0.54928
1000 0.00325 0.01115 0.38680 0.10323 0.14994 0.34563
1100 0.01258 0.01115 0.08013 0.28824 0.42707 0.18084
1200 0.01332 0.00591 0.35922 0.23197 0.35027 0.03931
1300 0.01158 0.00096 0.43254 0.16000 0.24556 0.14935
1400 0.18376 0.00003 0.24035 0.09985 0.14264 0.33338
1500 0.26525 0.00009 0.35365 0.02286 0.06155 0.29659
1600 0.14372 0.00004 0.20394 0.18847 0.07876 0.38507
1700 0.19708 0.00007 0.27491 0.18767 0.05234 0.28794
1800 0.21834 0.00006 0.25313 0.07585 0.13464 0.31799
1900 0.01222 0.00010 0.41877 0.02132 0.19938 0.34821
2000 0.16667 0.16667 0.27579 0.16667 0.05797 0.16623
2100 0.10080 0.33514 0.25230 0.13744 0.04758 0.12674
2200 0.07074 0.29189 0.48931 0.02212 0.08121 0.04473
2300 0.05718 0.18284 0.29701 0.23054 0.04496 0.18747
2400 0.26006 0.45604 0.17976 0.02182 0.02508 0.05724
2500 0.20918 0.15520 0.21816 0.37820 0.02809 0.01117
