Batch	m_SP	8	W1_L	R	P1	P2	P3	P4	P5	P6													
9.837342e-11	0.9999999965199998	0.1	9.837342e-11	0.0	0.1	9.837342e-11	0.0	0.1	9.837342e-11	0.0	0.1	9.837342e-11	0.0	0.1	9.837342e-11	0.0	0.1	9.837342e-11	0.0	0.1	9.837342e-11	0.0	0.1
9.875286e-09	0.99999992744	0.1	9.875286e-09	0.0	0.1	9.875286e-09	0.0	0.1	9.875286e-09	0.0	0.1	9.875286e-09	0.0	0.1	9.875286e-09	0.0	0.1	9.875286e-09	0.0	0.1	9.875286e-09	0.0	0.1
3.681106e-08	0.9999999922899999	0.1	3.681106e-08	0.0	0.1	3.681106e-08	0.0	0.1	3.681106e-08	0.0	0.1	3.681106e-08	0.0	0.1	3.681106e-08	0.0	0.1	3.681106e-08	0.0	0.1	3.681106e-08	0.0	0.1
7.377985e-08	1.00000003154	0.1	7.377985e-08	0.0	0.1	7.377985e-08	0.0	0.1	7.377985e-08	0.0	0.1	7.377985e-08	0.0	0.1	7.377985e-08	0.0	0.1	7.377985e-08	0.0	0.1	7.377985e-08	0.0	0.1
1.338309e-07	0.9999999747599999	0.1	1.338309e-07	0.0	0.1	1.338309e-07	0.0	0.1	1.338309e-07	0.0	0.1	1.338309e-07	0.0	0.1	1.338309e-07	0.0	0.1	1.338309e-07	0.0	0.1	1.338309e-07	0.0	0.1
2.299127e-07	0.9999999771199999	0.1	2.299127e-07	0.0	0.1	2.299127e-07	0.0	0.1	2.299127e-07	0.0	0.1	2.299127e-07	0.0	0.1	2.299127e-07	0.0	0.1	2.299127e-07	0.0	0.1	2.299127e-07	0.0	0.1
3.584032e-07	0.99999999608	0.1	3.584032e-07	0.0	0.1	3.584032e-07	0.0	0.1	3.584032e-07	0.0	0.1	3.584032e-07	0.0	0.1	3.584032e-07	0.0	0.1	3.584032e-07	0.0	0.1	3.584032e-07	0.0	0.1
5.204471e-07	0.99999996962	0.1	5.204471e-07	0.0	0.1	5.204471e-07	0.0	0.1	5.204471e-07	0.0	0.1	5.204471e-07	0.0	0.1	5.204471e-07	0.0	0.1	5.204471e-07	0.0	0.1	5.204471e-07	0.0	0.1
6.82491e-07	0.99999998979	0.1	6.82491e-07	0.0	0.1	6.82491e-07	0.0	0.1	6.82491e-07	0.0	0.1	6.82491e-07	0.0	0.1	6.82491e-07	0.0	0.1	6.82491e-07	0.0	0.1	6.82491e-07	0.0	0.1
9.117241e-07	0.99999995608	0.1	9.117241e-07	0.0	0.1	9.117241e-07	0.0	0.1	9.117241e-07	0.0	0.1	9.117241e-07	0.0	0.1	9.117241e-07	0.0	0.1	9.117241e-07	0.0	0.1	9.117241e-07	0.0	0.1
1.140957e-06	1.0000000032999998	0.1	1.140957e-06	0.0	0.1	1.140957e-06	0.0	0.1	1.140957e-06	0.0	0.1	1.140957e-06	0.0	0.1	1.140957e-06	0.0	0.1	1.140957e-06	0.0	0.1	1.140957e-06	0.0	0.1
1.37019e-06	1.0000000135499998	0.1	1.37019e-06	0.0	0.1	1.37019e-06	0.0	0.1	1.37019e-06	0.0	0.1	1.37019e-06	0.0	0.1	1.37019e-06	0.0	0.1	1.37019e-06	0.0	0.1	1.37019e-06	0.0	0.1
1.609576e-06	1.00000001995	0.1	1.609576e-06	0.0	0.1	1.609576e-06	0.0	0.1	1.609576e-06	0.0	0.1	1.609576e-06	0.0	0.1	1.609576e-06	0.0	0.1	1.609576e-06	0.0	0.1	1.609576e-06	0.0	0.1
1.889575e-06	0.9999999397200001	0.1	1.889575e-06	0.0	0.1	1.889575e-06	0.0	0.1	1.889575e-06	0.0	0.1	1.889575e-06	0.0	0.1	1.889575e-06	0.0	0.1	1.889575e-06	0.0	0.1	1.889575e-06	0.0	0.1
2.20446e-06	0.9999999908099999	0.1	2.20446e-06	0.0	0.1	2.20446e-06	0.0	0.1	2.20446e-06	0.0	0.1	2.20446e-06	0.0	0.1	2.20446e-06	0.0	0.1	2.20446e-06	0.0	0.1	2.20446e-06	0.0	0.1
2.559204e-06	1.00000001347	0.1	2.559204e-06	0.0	0.1	2.559204e-06	0.0	0.1	2.559204e-06	0.0	0.1	2.559204e-06	0.0	0.1	2.559204e-06	0.0	0.1	2.559204e-06	0.0	0.1	2.559204e-06	0.0	0.1
2.980346e-06	0.99999994594	0.1	2.980346e-06	0.0	0.1	2.980346e-06	0.0	0.1	2.980346e-06	0.0	0.1	2.980346e-06	0.0	0.1	2.980346e-06	0.0	0.1	2.980346e-06	0.0	0.1	2.980346e-06	0.0	0.1
3.497581e-06	0.99999997253	0.1	3.497581e-06	0.0	0.1	3.497581e-06	0.0	0.1	3.497581e-06	0.0	0.1	3.497581e-06	0.0	0.1	3.497581e-06	0.0	0.1	3.497581e-06	0.0	0.1	3.497581e-06	0.0	0.1
4.120411e-06	1.0000000204700001	0.1	4.120411e-06	0.0	0.1	4.120411e-06	0.0	0.1	4.120411e-06	0.0	0.1	4.120411e-06	0.0	0.1	4.120411e-06	0.0	0.1	4.120411e-06	0.0	0.1	4.120411e-06	0.0	0.1
4.865599e-06	0.9999999985200001	0.1	4.865599e-06	0.0	0.1	4.865599e-06	0.0	0.1	4.865599e-06	0.0	0.1	4.865599e-06	0.0	0.1	4.865599e-06	0.0	0.1	4.865599e-06	0.0	0.1	4.865599e-06	0.0	0.1
5.990706e-06	1.0000000257	0.1	5.990706e-06	0.0	0.1	5.990706e-06	0.0	0.1	5.990706e-06	0.0	0.1	5.990706e-06	0.0	0.1	5.990706e-06	0.0	0.1	5.990706e-06	0.0	0.1	5.990706e-06	0.0	0.1
7.790878e-06	0.99999996121	0.1	7.790878e-06	0.0	0.1	7.790878e-06	0.0	0.1	7.790878e-06	0.0	0.1	7.790878e-06	0.0	0.1	7.790878e-06	0.0	0.1	7.790878e-06	0.0	0.1	7.790878e-06	0.0	0.1
1.094118e-05	1.00000002335	0.1	1.094118e-05	0.0	0.1	1.094118e-05	0.0	0.1	1.094118e-05	0.0	0.1	1.094118e-05	0.0	0.1	1.094118e-05	0.0	0.1	1.094118e-05	0.0	0.1	1.094118e-05	0.0	0.1
1.634169e-05	1.00000000988	0.1	1.634169e-05	0.0	0.1	1.634169e-05	0.0	0.1	1.634169e-05	0.0	0.1	1.634169e-05	0.0	0.1	1.634169e-05	0.0	0.1	1.634169e-05	0.0	0.1	1.634169e-05	0.0	0.1
2.714272e-05	1.00000002295	0.1	2.714272e-05	0.0	0.1	2.714272e-05	0.0	0.1	2.714272e-05	0.0	0.1	2.714272e-05	0.0	0.1	2.714272e-05	0.0	0.1	2.714272e-05	0.0	0.1	2.714272e-05	0.0	0.1
4.874478e-05	1.00000002914	0.1	4.874478e-05	0.0	0.1	4.874478e-05	0.0	0.1	4.874478e-05	0.0	0.1	4.874478e-05	0.0	0.1	4.874478e-05	0.0	0.1	4.874478e-05	0.0	0.1	4.874478e-05	0.0	0.1
9.194889e-05	1.0000000217	0.1	9.194889e-05	0.0	0.1	9.194889e-05	0.0	0.1	9.194889e-05	0.0	0.1	9.194889e-05	0.0	0.1	9.194889e-05	0.0	0.1	9.194889e-05	0.0	0.1	9.194889e-05	0.0	0.1
0.0001783571	0.99999995756	0.1	0.0001783571	0.0	0.1	0.0001783571	0.0	0.1	0.0001783571	0.0	0.1	0.0001783571	0.0	0.1	0.0001783571	0.0	0.1	0.0001783571	0.0	0.1	0.0001783571	0.0	0.1
0.0003223708	0.9999999528299999	0.1	0.0003223708	0.0	0.1	0.0003223708	0.0	0.1	0.0003223708	0.0	0.1	0.0003223708	0.0	0.1	0.0003223708	0.0	0.1	0.0003223708	0.0	0.1	0.0003223708	0.0	0.1
