Batch	m_SP	2	Pr1	W1	
2.318936000000e+11	9.850431494700e-06	1.000000000000e-01	2.318936000000e+11	1.472395000000e-07	1.000000000000e-01
4.349957000000e+11	9.721558783440e-06	1.000000000000e-01	4.349957000000e+11	2.761433000000e-07	1.000000000000e-01
8.411999000000e+11	9.468850310550e-06	1.000000000000e-01	8.411999000000e+11	5.289139000000e-07	1.000000000000e-01
1.572368000000e+12	9.030414694950e-06	1.000000000000e-01	1.572368000000e+12	9.674577000000e-07	1.000000000000e-01
2.872221000000e+12	8.300495994210e-06	1.000000000000e-01	2.872221000000e+12	1.697557000000e-06	1.000000000000e-01
4.907541000000e+12	7.274276256510e-06	1.000000000000e-01	4.907541000000e+12	2.724030000000e-06	1.000000000000e-01
7.558616000000e+12	6.125420745180e-06	1.000000000000e-01	7.558616000000e+12	3.873168000000e-06	1.000000000000e-01
1.049608000000e+13	5.063112368370e-06	1.000000000000e-01	1.049608000000e+13	4.935739000000e-06	1.000000000000e-01
1.457908000000e+13	3.885445145160e-06	1.000000000000e-01	1.457908000000e+13	6.113696000000e-06	1.000000000000e-01
1.866209000000e+13	2.981700182700e-06	1.000000000000e-01	1.866209000000e+13	7.017664000000e-06	1.000000000000e-01
2.274509000000e+13	2.288165118120e-06	1.000000000000e-01	2.274509000000e+13	7.711371000000e-06	1.000000000000e-01
2.682810000000e+13	1.755943440390e-06	1.000000000000e-01	2.682810000000e+13	8.243723000000e-06	1.000000000000e-01
3.091110000000e+13	1.347515524710e-06	1.000000000000e-01	3.091110000000e+13	8.652252000000e-06	1.000000000000e-01
3.499411000000e+13	1.034086659030e-06	1.000000000000e-01	3.499411000000e+13	8.965758000000e-06	1.000000000000e-01
3.907711000000e+13	7.935609643110e-07	1.000000000000e-01	3.907711000000e+13	9.206343000000e-06	1.000000000000e-01
4.316012000000e+13	6.089807101320e-07	1.000000000000e-01	4.316012000000e+13	9.390969000000e-06	1.000000000000e-01
4.741257000000e+13	4.622269776840e-07	1.000000000000e-01	4.741257000000e+13	9.537759000000e-06	1.000000000000e-01
5.234280000000e+13	3.357536424300e-07	1.000000000000e-01	5.234280000000e+13	9.664263000000e-06	1.000000000000e-01
5.727303000000e+13	2.438856611190e-07	1.000000000000e-01	5.727303000000e+13	9.756154000000e-06	1.000000000000e-01
6.220326000000e+13	1.771543284390e-07	1.000000000000e-01	6.220326000000e+13	9.822902000000e-06	1.000000000000e-01
6.773770000000e+13	1.237379626080e-07	1.000000000000e-01	6.773770000000e+13	9.876331000000e-06	1.000000000000e-01
