Batch	m_SP	2	Pr2	Pr1	
0.000000000000e+00	9.999900000000e-06	1.000000000000e-01	0.000000000000e+00	0.000000000000e+00	1.000000000000e-01
5.329966000000e-02	9.999899000010e-06	1.000000000000e-01	5.329966000000e-02	4.622650000000e-14	1.000000000000e-01
3.189367000000e-01	9.999897000030e-06	1.000000000000e-01	3.189367000000e-01	1.004230000000e-12	1.000000000000e-01
7.669336000000e-01	9.999894000060e-06	1.000000000000e-01	7.669336000000e-01	3.398878000000e-12	1.000000000000e-01
2.222194000000e+00	9.999885000150e-06	1.000000000000e-01	2.222194000000e+00	1.163529000000e-11	1.000000000000e-01
8.046323000000e+00	9.999849000510e-06	1.000000000000e-01	8.046323000000e+00	4.467905000000e-11	1.000000000000e-01
2.498924000000e+01	9.999744001560e-06	1.000000000000e-01	2.498924000000e+01	1.411870000000e-10	1.000000000000e-01
5.745159000000e+01	9.999547003530e-06	1.000000000000e-01	5.745159000000e+01	3.287992000000e-10	1.000000000000e-01
1.081512000000e+02	9.999243006570e-06	1.000000000000e-01	1.081512000000e+02	6.272873000000e-10	1.000000000000e-01
1.886651000000e+02	9.998764011360e-06	1.000000000000e-01	1.886651000000e+02	1.105079000000e-09	1.000000000000e-01
3.051678000000e+02	9.998072018280e-06	1.000000000000e-01	3.051678000000e+02	1.797121000000e-09	1.000000000000e-01
4.915721000000e+02	9.996965029350e-06	1.000000000000e-01	4.915721000000e+02	2.904370000000e-09	1.000000000000e-01
8.643808000000e+02	9.994751051490e-06	1.000000000000e-01	8.643808000000e+02	5.118448000000e-09	1.000000000000e-01
1.703200000000e+03	9.989771101290e-06	1.000000000000e-01	1.703200000000e+03	1.009832000000e-08	1.000000000000e-01
3.940053000000e+03	9.976503233970e-06	1.000000000000e-01	3.940053000000e+03	2.336565000000e-08	1.000000000000e-01
8.413757000000e+03	9.950024498760e-06	1.000000000000e-01	8.413757000000e+03	4.984553000000e-08	1.000000000000e-01
1.736117000000e+04	9.897291036351e-06	1.000000000000e-01	1.736117000000e+04	1.025783000000e-07	1.000000000000e-01
3.525598000000e+04	9.792795112471e-06	1.000000000000e-01	3.525598000000e+04	2.070745000000e-07	1.000000000000e-01
6.508068000000e+04	9.621820932022e-06	1.000000000000e-01	6.508068000000e+04	3.780485000000e-07	1.000000000000e-01
1.136255000000e+05	9.353347853462e-06	1.000000000000e-01	1.136255000000e+05	6.465230000000e-07	1.000000000000e-01
1.746864000000e+05	9.035684606376e-06	1.000000000000e-01	1.746864000000e+05	9.641860000000e-07	1.000000000000e-01
2.388765000000e+05	8.728844362944e-06	1.000000000000e-01	2.388765000000e+05	1.271026000000e-06	1.000000000000e-01
3.119502000000e+05	8.415790375699e-06	1.000000000000e-01	3.119502000000e+05	1.584081000000e-06	1.000000000000e-01
3.983495000000e+05	8.096213653911e-06	1.000000000000e-01	3.983495000000e+05	1.903658000000e-06	1.000000000000e-01
5.074061000000e+05	7.767415236378e-06	1.000000000000e-01	5.074061000000e+05	2.232457000000e-06	1.000000000000e-01
6.221271000000e+05	7.501167234238e-06	1.000000000000e-01	6.221271000000e+05	2.498705000000e-06	1.000000000000e-01
7.368481000000e+05	7.302394258415e-06	1.000000000000e-01	7.368481000000e+05	2.697478000000e-06	1.000000000000e-01
8.515691000000e+05	7.156662393549e-06	1.000000000000e-01	8.515691000000e+05	2.843211000000e-06	1.000000000000e-01
9.662901000000e+05	7.051231037946e-06	1.000000000000e-01	9.662901000000e+05	2.948642000000e-06	1.000000000000e-01
1.081011000000e+06	6.975688314873e-06	1.000000000000e-01	1.081011000000e+06	3.024185000000e-06	1.000000000000e-01
1.164436000000e+06	6.934819152679e-06	1.000000000000e-01	1.164436000000e+06	3.065054000000e-06	1.000000000000e-01
1.247097000000e+06	6.903254566181e-06	1.000000000000e-01	1.247097000000e+06	3.096618000000e-06	1.000000000000e-01
1.358001000000e+06	6.871595980913e-06	1.000000000000e-01	1.358001000000e+06	3.128278000000e-06	1.000000000000e-01
1.521863000000e+06	6.840666702008e-06	1.000000000000e-01	1.521863000000e+06	3.159206000000e-06	1.000000000000e-01
1.698964000000e+06	6.820838963737e-06	1.000000000000e-01	1.698964000000e+06	3.179034000000e-06	1.000000000000e-01
1.876065000000e+06	6.809367115168e-06	1.000000000000e-01	1.876065000000e+06	3.190506000000e-06	1.000000000000e-01
2.053166000000e+06	6.802740202644e-06	1.000000000000e-01	2.053166000000e+06	3.197133000000e-06	1.000000000000e-01
2.230267000000e+06	6.798917253108e-06	1.000000000000e-01	2.230267000000e+06	3.200957000000e-06	1.000000000000e-01
2.445691000000e+06	6.796374286675e-06	1.000000000000e-01	2.445691000000e+06	3.203499000000e-06	1.000000000000e-01
2.661116000000e+06	6.795073303848e-06	1.000000000000e-01	2.661116000000e+06	3.204800000000e-06	1.000000000000e-01
