Batch	m_SP	2	W1	Pr2	
5.534023000000e+27	1.000000000000e+00	1.000000000000e-01	5.534023000000e+27	8.688416000000e-09	1.000000000000e-01
1.383506000000e+28	1.000000000000e+00	1.000000000000e-01	1.383506000000e+28	2.172104000000e-08	1.000000000000e-01
3.043713000000e+28	9.999999000000e-01	1.000000000000e-01	3.043713000000e+28	4.778629000000e-08	1.000000000000e-01
5.415412000000e+28	9.999998000000e-01	1.000000000000e-01	5.415412000000e+28	8.502195000000e-08	1.000000000000e-01
6.416624000000e+28	9.999998000000e-01	1.000000000000e-01	6.416624000000e+28	1.007410000000e-07	1.000000000000e-01
9.086524000000e+28	9.999997000000e-01	1.000000000000e-01	9.086524000000e+28	1.426584000000e-07	1.000000000000e-01
1.843117000000e+29	9.999994000000e-01	1.000000000000e-01	1.843117000000e+29	2.893693000000e-07	1.000000000000e-01
4.780007000000e+29	9.999985000000e-01	1.000000000000e-01	4.780007000000e+29	7.504602000000e-07	1.000000000000e-01
1.225573000000e+30	9.999962000000e-01	1.000000000000e-01	1.225573000000e+30	1.924143000000e-06	1.000000000000e-01
2.934308000000e+30	9.999908000000e-01	1.000000000000e-01	2.934308000000e+30	4.606832000000e-06	1.000000000000e-01
6.778964000000e+30	9.999787000000e-01	1.000000000000e-01	6.778964000000e+30	1.064280000000e-05	1.000000000000e-01
1.703138000000e+31	9.999465000000e-01	1.000000000000e-01	1.703138000000e+31	2.673819000000e-05	1.000000000000e-01
4.095368000000e+31	9.998714000000e-01	1.000000000000e-01	4.095368000000e+31	6.429108000000e-05	1.000000000000e-01
9.563323000000e+31	9.996998000000e-01	1.000000000000e-01	9.563323000000e+31	1.501104000000e-04	1.000000000000e-01
2.186622000000e+32	9.993138000000e-01	1.000000000000e-01	2.186622000000e+32	3.431230000000e-04	1.000000000000e-01
4.647202000000e+32	9.985424000000e-01	1.000000000000e-01	4.647202000000e+32	7.288130000000e-04	1.000000000000e-01
9.568361000000e+32	9.970023000000e-01	1.000000000000e-01	9.568361000000e+32	1.498855000000e-03	1.000000000000e-01
1.941068000000e+33	9.939328000000e-01	1.000000000000e-01	1.941068000000e+33	3.033607000000e-03	1.000000000000e-01
3.909532000000e+33	9.878361000000e-01	1.000000000000e-01	3.909532000000e+33	6.081949000000e-03	1.000000000000e-01
7.409023000000e+33	9.771349000000e-01	1.000000000000e-01	7.409023000000e+33	1.143256000000e-02	1.000000000000e-01
1.353313000000e+34	9.588199000000e-01	1.000000000000e-01	1.353313000000e+34	2.059003000000e-02	1.000000000000e-01
2.403160000000e+34	9.285906000000e-01	1.000000000000e-01	2.403160000000e+34	3.570470000000e-02	1.000000000000e-01
4.152906000000e+34	8.812543000000e-01	1.000000000000e-01	4.152906000000e+34	5.937287000000e-02	1.000000000000e-01
