Batch	m_SP	4	Pr2	W1	Pr1	Pr3					
3.621904e-05	9.8181568537786e-06	0.1	3.621904e-05	9.453576e-11	0.1	3.621904e-05	5.849646e-08	0.1	3.621904e-05	1.231518e-07	0.1
6.422874e-05	9.680465290180498e-06	0.1	6.422874e-05	9.491681e-11	0.1	6.422874e-05	1.040079e-07	0.1	6.422874e-05	2.153322e-07	0.1
0.0001012938	9.5026892207155e-06	0.1	0.0001012938	9.666711e-11	0.1	0.0001012938	1.657622e-07	0.1	0.0001012938	3.313522e-07	0.1
0.0001435134	9.3070324136876e-06	0.1	0.0001435134	9.999237e-11	0.1	0.0001435134	2.396398e-07	0.1	0.0001435134	4.531278e-07	0.1
0.0001891694	9.104250762585e-06	0.1	0.0001891694	1.045821e-10	0.1	0.0001891694	3.251449e-07	0.1	0.0001891694	5.703997e-07	0.1
0.0002411459	8.8847873777654e-06	0.1	0.0002411459	1.102672e-10	0.1	0.0002411459	4.305655e-07	0.1	0.0002411459	6.844378e-07	0.1
0.0003026032	8.6404774974336e-06	0.1	0.0003026032	1.166505e-10	0.1	0.0003026032	5.663703e-07	0.1	0.0003026032	7.929363e-07	0.1
0.0003640604	8.4113184275744e-06	0.1	0.0003640604	1.219503e-10	0.1	0.0003640604	7.129918e-07	0.1	0.0003640604	8.754698e-07	0.1
0.0004255177	8.195515291778399e-06	0.1	0.0004255177	1.2585e-10	0.1	0.0004255177	8.682889e-07	0.1	0.0004255177	9.359724e-07	0.1
0.0004869749	7.991211104316e-06	0.1	0.0004869749	1.283457e-10	0.1	0.0004869749	1.029893e-06	0.1	0.0004869749	9.786714e-07	0.1
0.0005539088	7.7797970853176e-06	0.1	0.0005539088	1.2966e-10	0.1	0.0005539088	1.210489e-06	0.1	0.0005539088	1.009489e-06	0.1
0.0006290576	7.5540123290856e-06	0.1	0.0006290576	1.297446e-10	0.1	0.0006290576	1.416083e-06	0.1	0.0006290576	1.029681e-06	0.1
0.0007213972	7.2904924095705e-06	0.1	0.0007213972	1.284026e-10	0.1	0.0007213972	1.669191e-06	0.1	0.0007213972	1.040095e-06	0.1
0.0008382705	6.9750743228549995e-06	0.1	0.0008382705	1.252769e-10	0.1	0.0008382705	1.985647e-06	0.1	0.0008382705	1.039062e-06	0.1
0.0009714998	6.636032075978599e-06	0.1	0.0009714998	1.207048e-10	0.1	0.0009714998	2.336607e-06	0.1	0.0009714998	1.02715e-06	0.1
