Batch	m_SP	4	W1	Pr1	Pr2	Pr3					
0.5523888	0.9864818	0.1	0.5523888	0.003066977	0.1	0.5523888	0.003691412	0.1	0.5523888	1.24201e-07	0.1
0.9871165	0.9760381	0.1	0.9871165	0.005435979	0.1	0.9871165	0.006544281	0.1	0.9871165	1.232171e-07	0.1
1.608156	0.9614133	0.1	1.608156	0.008750435	0.1	1.608156	0.01054226	0.1	1.608156	1.218383e-07	0.1
2.63672	0.9379436	0.1	2.63672	0.01405695	0.1	2.63672	0.0169706	0.1	2.63672	1.196228e-07	0.1
3.837763	0.9117005	0.1	3.837763	0.01996117	0.1	3.837763	0.02418794	0.1	3.837763	1.171414e-07	0.1
5.153793	0.8843419	0.1	5.153793	0.02606617	0.1	5.153793	0.03176224	0.1	5.153793	1.145494e-07	0.1
6.469822	0.8583949	0.1	6.469822	0.03178947	0.1	6.469822	0.03901243	0.1	6.469822	1.120861e-07	0.1
7.785851	0.8338058	0.1	7.785851	0.03713351	0.1	7.785851	0.04596296	0.1	7.785851	1.097467e-07	0.1
9.101881	0.810518	0.1	9.101881	0.04210363	0.1	9.101881	0.05263676	0.1	9.101881	1.075262e-07	0.1
10.52601	0.7867155	0.1	10.52601	0.04706993	0.1	10.52601	0.05957168	0.1	10.52601	1.052512e-07	0.1
12.11228	0.7618233	0.1	12.11228	0.05211306	0.1	12.11228	0.06697466	0.1	12.11228	1.028657e-07	0.1
13.69856	0.7385358	0.1	13.69856	0.05666224	0.1	13.69856	0.07406919	0.1	13.69856	1.006274e-07	0.1
15.5598	0.7131146	0.1	15.5598	0.06140362	0.1	15.5598	0.08203842	0.1	15.5598	9.817605e-08	0.1
17.7956	0.6850669	0.1	17.7956	0.06630698	0.1	17.7956	0.09115893	0.1	17.7956	9.546045e-08	0.1
20.49014	0.6544969	0.1	20.49014	0.0711755	0.1	20.49014	0.1015754	0.1	20.49014	9.248566e-08	0.1
23.18468	0.6270263	0.1	23.18468	0.0750404	0.1	23.18468	0.1114458	0.1	23.18468	8.979712e-08	0.1
25.87922	0.6022362	0.1	25.87922	0.07803961	0.1	25.87922	0.1208416	0.1	25.87922	8.735657e-08	0.1
28.57376	0.5797544	0.1	28.57376	0.0803019	0.1	28.57376	0.1298202	0.1	28.57376	8.512992e-08	0.1
31.2683	0.5592553	0.1	31.2683	0.08194399	0.1	31.2683	0.1384277	0.1	31.2683	8.308726e-08	0.1
33.96284	0.5404583	0.1	33.96284	0.08306931	0.1	33.96284	0.1467009	0.1	33.96284	8.120274e-08	0.1
