Batch	m_SP	4	Pr3	W1	Pr1	Pr2					
3.510681e-12	9.78721512687e-06	0.1	3.510681e-12	1.867646e-07	0.1	3.510681e-12	1.359735e-08	0.1	3.510681e-12	9.285319e-09	0.1
7.758867e-12	9.535889640150001e-06	0.1	7.758867e-12	4.074601e-07	0.1	7.758867e-12	2.966517e-08	0.1	7.758867e-12	2.025757e-08	0.1
1.605176e-11	9.0637204554988e-06	0.1	1.605176e-11	8.220839e-07	0.1	1.605176e-11	5.985241e-08	0.1	1.605176e-11	4.087127e-08	0.1
3.077751e-11	8.2821635210704e-06	0.1	3.077751e-11	1.508391e-06	0.1	3.077751e-11	1.098212e-07	0.1	3.077751e-11	7.499211e-08	0.1
5.130331e-11	7.3039217688309e-06	0.1	5.130331e-11	2.367416e-06	0.1	5.130331e-11	1.723679e-07	0.1	5.130331e-11	1.176998e-07	0.1
8.033213e-11	6.114414409428801e-06	0.1	8.033213e-11	3.411963e-06	0.1	8.033213e-11	2.484279e-07	0.1	8.033213e-11	1.696308e-07	0.1
1.093609e-10	5.1186292538284996e-06	0.1	1.093609e-10	4.286402e-06	0.1	1.093609e-10	3.121073e-07	0.1	1.093609e-10	2.131044e-07	0.1
1.535647e-10	3.9047672185437e-06	0.1	1.535647e-10	5.352354e-06	0.1	1.535647e-10	3.897445e-07	0.1	1.535647e-10	2.660989e-07	0.1
1.977686e-10	2.9787688289492e-06	0.1	1.977686e-10	6.165531e-06	0.1	1.977686e-10	4.489846e-07	0.1	1.977686e-10	3.06526e-07	0.1
2.419724e-10	2.2723664581772e-06	0.1	2.419724e-10	6.785879e-06	0.1	2.419724e-10	4.941903e-07	0.1	2.419724e-10	3.373661e-07	0.1
2.861762e-10	1.7334851048064e-06	0.1	2.861762e-10	7.259126e-06	0.1	2.861762e-10	5.286899e-07	0.1	2.861762e-10	3.608926e-07	0.1
3.3038e-10	1.3223965857200998e-06	0.1	3.3038e-10	7.620156e-06	0.1	3.3038e-10	5.550222e-07	0.1	3.3038e-10	3.788401e-07	0.1
3.745838e-10	1.008795903123e-06	0.1	3.745838e-10	7.895582e-06	0.1	3.745838e-10	5.751241e-07	0.1	3.745838e-10	3.925315e-07	0.1
4.187876e-10	7.695651346904e-07	0.1	4.187876e-10	8.105703e-06	0.1	4.187876e-10	5.904731e-07	0.1	4.187876e-10	4.029761e-07	0.1
4.629914e-10	5.870666421959001e-07	0.1	4.629914e-10	8.266007e-06	0.1	4.629914e-10	6.021963e-07	0.1	4.629914e-10	4.109439e-07	0.1
5.071952e-10	4.478468736302e-07	0.1	5.071952e-10	8.388307e-06	0.1	5.071952e-10	6.111535e-07	0.1	5.071952e-10	4.170222e-07	0.1
5.60685e-10	3.2275744962899997e-07	0.1	5.60685e-10	8.49821e-06	0.1	5.60685e-10	6.192202e-07	0.1	5.60685e-10	4.224838e-07	0.1
6.141748e-10	2.3260731803010998e-07	0.1	6.141748e-10	8.577432e-06	0.1	6.141748e-10	6.250538e-07	0.1	6.141748e-10	4.2642e-07	0.1
6.676646e-10	1.6763743920377e-07	0.1	6.676646e-10	8.634543e-06	0.1	6.676646e-10	6.292781e-07	0.1	6.676646e-10	4.292569e-07	0.1
7.256399e-10	1.1754129527714e-07	0.1	7.256399e-10	8.678599e-06	0.1	7.256399e-10	6.325578e-07	0.1	7.256399e-10	4.314444e-07	0.1
