Batch	m_SP	4	W1	Pr1	Pr2	Pr3					
5097.947	0.985815	0.1	5097.947	0.002897275	0.1	5097.947	0.004191342	0.1	5097.947	3.876448e-06	0.1
9660.6	0.9733732	0.1	9660.6	0.005438504	0.1	9660.6	0.007867585	0.1	9660.6	7.276497e-06	0.1
17645.24	0.9521571	0.1	17645.24	0.009771895	0.1	17645.24	0.01413644	0.1	17645.24	1.307438e-05	0.1
31333.2	0.9173532	0.1	31333.2	0.0168806	0.1	31333.2	0.02442018	0.1	31333.2	2.258551e-05	0.1
54146.46	0.8633859	0.1	54146.46	0.02790344	0.1	54146.46	0.04036627	0.1	54146.46	3.733357e-05	0.1
90619.21	0.7862804	0.1	90619.21	0.04365225	0.1	90619.21	0.06314912	0.1	90619.21	5.840476e-05	0.1
140269.8	0.6963324	0.1	140269.8	0.06202414	0.1	140269.8	0.08972664	0.1	140269.8	8.298552e-05	0.1
204564.8	0.6000192	0.1	204564.8	0.08169613	0.1	204564.8	0.1181849	0.1	204564.8	0.0001093058	0.1
268859.8	0.52112	0.1	268859.8	0.09781131	0.1	268859.8	0.1414978	0.1	268859.8	0.0001308671	0.1
338513.6	0.4505886	0.1	338513.6	0.1122174	0.1	338513.6	0.1623382	0.1	338513.6	0.0001501418	0.1
416205.6	0.3859562	0.1	416205.6	0.1254186	0.1	416205.6	0.1814355	0.1	416205.6	0.0001678044	0.1
493897.7	0.3327211	0.1	493897.7	0.1362918	0.1	493897.7	0.1971653	0.1	493897.7	0.0001823523	0.1
571589.8	0.2883565	0.1	571589.8	0.1453533	0.1	571589.8	0.210274	0.1	571589.8	0.0001944762	0.1
649281.8	0.2510216	0.1	649281.8	0.152979	0.1	649281.8	0.2213056	0.1	649281.8	0.000204679	0.1
726973.9	0.2193436	0.1	726973.9	0.1594492	0.1	726973.9	0.2306657	0.1	726973.9	0.0002133359	0.1
804665.9	0.1922776	0.1	804665.9	0.1649774	0.1	804665.9	0.238663	0.1	804665.9	0.0002207324	0.1
882358.0	0.1690145	0.1	882358.0	0.1697289	0.1	882358.0	0.2455367	0.1	882358.0	0.0002270897	0.1
960050.0	0.1489174	0.1	960050.0	0.1738338	0.1	960050.0	0.251475	0.1	960050.0	0.0002325818	0.1
1037742.0	0.1314787	0.1	1037742.0	0.1773956	0.1	1037742.0	0.2566277	0.1	1037742.0	0.0002373473	0.1
1115434.0	0.1162889	0.1	1115434.0	0.1804981	0.1	1115434.0	0.2611159	0.1	1115434.0	0.0002414984	0.1
1193126.0	0.1030138	0.1	1193126.0	0.1832096	0.1	1193126.0	0.2650384	0.1	1193126.0	0.0002451262	0.1
1270818.0	0.0913781	0.1	1270818.0	0.1855862	0.1	1270818.0	0.2684765	0.1	1270818.0	0.0002483059	0.1
1348510.0	0.08115341	0.1	1348510.0	0.1876746	0.1	1348510.0	0.2714976	0.1	1348510.0	0.0002511001	0.1
1426202.0	0.07214844	0.1	1426202.0	0.1895138	0.1	1426202.0	0.2741584	0.1	1426202.0	0.000253561	0.1
1503894.0	0.06420202	0.1	1503894.0	0.1911369	0.1	1503894.0	0.2765064	0.1	1503894.0	0.0002557326	0.1
1587818.0	0.05665039	0.1	1587818.0	0.1926793	0.1	1587818.0	0.2787377	0.1	1587818.0	0.0002577962	0.1
1681089.0	0.04934324	0.1	1681089.0	0.1941718	0.1	1681089.0	0.2808968	0.1	1681089.0	0.0002597931	0.1
1774359.0	0.04301698	0.1	1774359.0	0.195464	0.1	1774359.0	0.282766	0.1	1774359.0	0.0002615219	0.1
1867630.0	0.03753082	0.1	1867630.0	0.1965845	0.1	1867630.0	0.2843871	0.1	1867630.0	0.0002630212	0.1
1960901.0	0.03276632	0.1	1960901.0	0.1975577	0.1	1960901.0	0.2857949	0.1	1960901.0	0.0002643232	0.1
2054172.0	0.02862335	0.1	2054172.0	0.1984039	0.1	2054172.0	0.287019	0.1	2054172.0	0.0002654554	0.1
2147442.0	0.02501691	0.1	2147442.0	0.1991405	0.1	2147442.0	0.2880846	0.1	2147442.0	0.000266441	0.1
2240713.0	0.02187453	0.1	2240713.0	0.1997823	0.1	2240713.0	0.2890131	0.1	2240713.0	0.0002672997	0.1
2333984.0	0.01913423	0.1	2333984.0	0.200342	0.1	2333984.0	0.2898228	0.1	2333984.0	0.0002680486	0.1
2427255.0	0.01674284	0.1	2427255.0	0.2008304	0.1	2427255.0	0.2905294	0.1	2427255.0	0.0002687021	0.1
2520525.0	0.01465463	0.1	2520525.0	0.201257	0.1	2520525.0	0.2911464	0.1	2520525.0	0.0002692727	0.1
2613796.0	0.01283015	0.1	2613796.0	0.2016296	0.1	2613796.0	0.2916855	0.1	2613796.0	0.0002697713	0.1
2707067.0	0.01123533	0.1	2707067.0	0.2019554	0.1	2707067.0	0.2921568	0.1	2707067.0	0.0002702072	0.1
