Batch	m_SP	5	Pr2	W1	W2	Pr1	Pr3							
0.0	9.9999e-06	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1
0.2003	9.9999e-06	0.1	0.2003	1.574413e-40	0.1	0.2003	7.017734e-48	0.1	0.2003	9.153566e-49	0.1	0.2003	8.909471e-54	0.1
100300.3	9.9999e-06	0.1	100300.3	7.883881e-35	0.1	100300.3	3.514133e-42	0.1	100300.3	4.583652e-43	0.1	100300.3	4.461421e-48	0.1
3300300.0	9.9999e-06	0.1	3300300.0	2.594127e-33	0.1	3300300.0	1.155649e-40	0.1	3300300.0	1.508894e-41	0.1	3300300.0	1.467995e-46	0.1
233300300.0	9.9999e-06	0.1	233300300.0	1.833805e-31	0.1	233300300.0	7.885375e-39	0.1	233300300.0	1.096453e-39	0.1	233300300.0	1.037735e-44	0.1
1333300000.0	9.9999e-06	0.1	1333300000.0	1.048011e-30	0.1	1333300000.0	3.835539e-38	0.1	1333300000.0	6.970355e-39	0.1	1333300000.0	5.930604e-44	0.1
4533300000.0	9.9999e-06	0.1	4533300000.0	3.563299e-30	0.1	4533300000.0	8.395733e-38	0.1	4533300000.0	2.857527e-38	0.1	4533300000.0	2.016441e-43	0.1
15733300000.0	9.9999e-06	0.1	15733300000.0	1.236681e-29	0.1	15733300000.0	1.127735e-37	0.1	15733300000.0	1.1792e-37	0.1	15733300000.0	6.998272e-43	0.1
50933300000.0	9.9999e-06	0.1	50933300000.0	4.003498e-29	0.1	50933300000.0	1.129305e-37	0.1	50933300000.0	4.08207e-37	0.1	50933300000.0	2.265546e-42	0.1
153333300000.0	9.9999e-06	0.1	153333300000.0	1.205242e-28	0.1	153333300000.0	1.128017e-37	0.1	153333300000.0	1.25274e-36	0.1	153333300000.0	6.820363e-42	0.1
511733300000.0	9.9999e-06	0.1	511733300000.0	4.022365e-28	0.1	511733300000.0	1.128022e-37	0.1	511733300000.0	4.208562e-36	0.1	511733300000.0	2.276222e-41	0.1
1638133000000.0	9.9999e-06	0.1	1638133000000.0	1.287618e-27	0.1	1638133000000.0	1.12804e-37	0.1	1638133000000.0	1.349833e-35	0.1	1638133000000.0	7.286521e-41	0.1
4914933000000.0	9.9999e-06	0.1	4914933000000.0	3.863274e-27	0.1	4914933000000.0	1.128092e-37	0.1	4914933000000.0	4.052354e-35	0.1	4914933000000.0	2.186194e-40	0.1
16383730000000.0	9.9999e-06	0.1	16383730000000.0	1.287807e-26	0.1	16383730000000.0	1.128274e-37	0.1	16383730000000.0	1.351164e-34	0.1	16383730000000.0	7.287589e-40	0.1
52428530000000.0	9.9999e-06	0.1	52428530000000.0	4.121028e-26	0.1	52428530000000.0	1.128845e-37	0.1	52428530000000.0	4.324526e-34	0.1	52428530000000.0	2.332054e-39	0.1
157286100000000.0	9.9999e-06	0.1	157286100000000.0	1.236313e-25	0.1	157286100000000.0	1.130506e-37	0.1	157286100000000.0	1.297861e-33	0.1	157286100000000.0	6.996187e-39	0.1
524287700000000.0	9.9999e-06	0.1	524287700000000.0	4.121047e-25	0.1	524287700000000.0	1.13632e-37	0.1	524287700000000.0	4.331521e-33	0.1	524287700000000.0	2.332065e-38	0.1
1677721000000000.0	9.9999e-06	0.1	1677721000000000.0	1.318735e-24	0.1	1677721000000000.0	1.154592e-37	0.1	1677721000000000.0	1.39114e-32	0.1	1677721000000000.0	7.462612e-38	0.1
5033165000000000.0	9.9999e-06	0.1	5033165000000000.0	3.956207e-24	0.1	5033165000000000.0	1.20775e-37	0.1	5033165000000000.0	4.222055e-32	0.1	5033165000000000.0	2.238784e-37	0.1
1.677722e+16	9.9999e-06	0.1	1.677722e+16	1.318736e-23	0.1	1.677722e+16	1.393799e-37	0.1	1.677722e+16	1.461471e-31	0.1	1.677722e+16	7.462619e-37	0.1
