Batch	m_SP	5	W1	W2	Pr1	Pr2	Pr3							
1.854288e+22	0.9905726	0.1	1.854288e+22	2.230574e-15	0.1	1.854288e+22	3.206838e-07	0.1	1.854288e+22	0.004713403	0.1	1.854288e+22	5.814341e-27	0.1
1.854288e+22	0.9905726	0.1	1.854288e+22	2.230574e-15	0.1	1.854288e+22	3.206838e-07	0.1	1.854288e+22	0.004713404	0.1	1.854288e+22	1.974331e-26	0.1
1.85429e+22	0.9905725	0.1	1.85429e+22	2.230574e-15	0.1	1.85429e+22	3.206838e-07	0.1	1.85429e+22	0.004713409	0.1	1.85429e+22	6.3589e-26	0.1
1.854295e+22	0.9905725	0.1	1.854295e+22	2.230573e-15	0.1	1.854295e+22	3.206837e-07	0.1	1.854295e+22	0.004713421	0.1	1.854295e+22	0.0	0.1
1.854313e+22	0.9905724	0.1	1.854313e+22	2.230573e-15	0.1	1.854313e+22	3.206837e-07	0.1	1.854313e+22	0.004713466	0.1	1.854313e+22	2.565467e-20	0.1
1.854369e+22	0.9905721	0.1	1.854369e+22	2.230573e-15	0.1	1.854369e+22	3.206837e-07	0.1	1.854369e+22	0.004713607	0.1	1.854369e+22	0.0	0.1
1.854531e+22	0.9905713	0.1	1.854531e+22	2.230571e-15	0.1	1.854531e+22	3.206835e-07	0.1	1.854531e+22	0.004714018	0.1	1.854531e+22	2.659437e-20	0.1
1.8551e+22	0.9905685	0.1	1.8551e+22	2.230564e-15	0.1	1.8551e+22	3.206828e-07	0.1	1.8551e+22	0.004715454	0.1	1.8551e+22	0.0	0.1
1.856401e+22	0.9905619	0.1	1.856401e+22	2.23055e-15	0.1	1.856401e+22	3.206812e-07	0.1	1.856401e+22	0.004718736	0.1	1.856401e+22	4.006153e-20	0.1
1.859327e+22	0.9905471	0.1	1.859327e+22	2.230516e-15	0.1	1.859327e+22	3.206776e-07	0.1	1.859327e+22	0.004726121	0.1	1.859327e+22	0.0	0.1
1.86713e+22	0.9905077	0.1	1.86713e+22	2.230428e-15	0.1	1.86713e+22	3.20668e-07	0.1	1.86713e+22	0.004745814	0.1	1.86713e+22	8.01784e-20	0.1
1.885337e+22	0.9904158	0.1	1.885337e+22	2.230221e-15	0.1	1.885337e+22	3.206458e-07	0.1	1.885337e+22	0.004791759	0.1	1.885337e+22	0.0	0.1
1.926953e+22	0.9902059	0.1	1.926953e+22	2.229748e-15	0.1	1.926953e+22	3.205949e-07	0.1	1.926953e+22	0.004896754	0.1	1.926953e+22	4.008643e-20	0.1
1.937357e+22	0.9901534	0.1	1.937357e+22	2.465472e-15	0.1	1.937357e+22	3.205821e-07	0.1	1.937357e+22	0.004922997	0.1	1.937357e+22	0.0	0.1
1.937357e+22	0.9901534	0.1	1.937357e+22	2.548477e-15	0.1	1.937357e+22	3.205821e-07	0.1	1.937357e+22	0.004922997	0.1	1.937357e+22	0.0	0.1
1.937357e+22	0.9901534	0.1	1.937357e+22	2.579238e-15	0.1	1.937357e+22	3.205821e-07	0.1	1.937357e+22	0.004922997	0.1	1.937357e+22	0.0	0.1
1.937357e+22	0.9901534	0.1	1.937357e+22	2.584951e-15	0.1	1.937357e+22	3.205822e-07	0.1	1.937357e+22	0.004922997	0.1	1.937357e+22	0.0	0.1
1.937357e+22	0.9901534	0.1	1.937357e+22	2.229631e-15	0.1	1.937357e+22	3.205821e-07	0.1	1.937357e+22	0.004922997	0.1	1.937357e+22	8.785324e-22	0.1
1.937357e+22	0.9901534	0.1	1.937357e+22	2.22963e-15	0.1	1.937357e+22	3.205821e-07	0.1	1.937357e+22	0.004922997	0.1	1.937357e+22	9.810872e-30	0.1
1.937357e+22	0.9901534	0.1	1.937357e+22	2.22963e-15	0.1	1.937357e+22	3.205821e-07	0.1	1.937357e+22	0.004922997	0.1	1.937357e+22	4.902381e-30	0.1
1.937357e+22	0.9901534	0.1	1.937357e+22	2.22963e-15	0.1	1.937357e+22	3.205821e-07	0.1	1.937357e+22	0.004922997	0.1	1.937357e+22	2.901998e-29	0.1
1.937357e+22	0.9901534	0.1	1.937357e+22	2.22963e-15	0.1	1.937357e+22	3.205821e-07	0.1	1.937357e+22	0.004922997	0.1	1.937357e+22	1.573557e-28	0.1
1.937357e+22	0.9901534	0.1	1.937357e+22	2.22963e-15	0.1	1.937357e+22	3.205821e-07	0.1	1.937357e+22	0.004922997	0.1	1.937357e+22	7.180593e-28	0.1
1.937357e+22	0.9901534	0.1	1.937357e+22	2.22963e-15	0.1	1.937357e+22	3.205821e-07	0.1	1.937357e+22	0.004922997	0.1	1.937357e+22	2.593025e-27	0.1
1.937357e+22	0.9901534	0.1	1.937357e+22	2.22963e-15	0.1	1.937357e+22	3.205821e-07	0.1	1.937357e+22	0.004922997	0.1	1.937357e+22	8.143513e-27	0.1
1.937358e+22	0.9901534	0.1	1.937358e+22	2.22963e-15	0.1	1.937358e+22	3.205821e-07	0.1	1.937358e+22	0.004922999	0.1	1.937358e+22	2.768175e-26	0.1
