Batch	m_SP	4	W1_L	Pr1	Pr2	Pr3					
233300300.0	1.0	0.1	233300300.0	0.0	0.1	233300300.0	0.0	0.1	233300300.0	0.0	0.1
1333300000.0	1.0	0.1	1333300000.0	0.0	0.1	1333300000.0	0.0	0.1	1333300000.0	0.0	0.1
4533300000.0	1.0	0.1	4533300000.0	0.0	0.1	4533300000.0	0.0	0.1	4533300000.0	0.0	0.1
15733300000.0	1.0	0.1	15733300000.0	0.0	0.1	15733300000.0	0.0	0.1	15733300000.0	0.0	0.1
41333300000.0	1.0	0.1	41333300000.0	0.0	0.1	41333300000.0	0.0	0.1	41333300000.0	0.0	0.1
98933300000.0	1.0	0.1	98933300000.0	0.0	0.1	98933300000.0	0.0	0.1	98933300000.0	0.0	0.1
252533300000.0	1.0	0.1	252533300000.0	0.0	0.1	252533300000.0	0.0	0.1	252533300000.0	0.0	0.1
610933300000.0	1.0	0.1	610933300000.0	0.0	0.1	610933300000.0	0.0	0.1	610933300000.0	0.0	0.1
1430133000000.0	1.0	0.1	1430133000000.0	0.0	0.1	1430133000000.0	0.0	0.1	1430133000000.0	0.0	0.1
3273333000000.0	1.0	0.1	3273333000000.0	0.0	0.1	3273333000000.0	0.0	0.1	3273333000000.0	0.0	0.1
8188533000000.0	1.0	0.1	8188533000000.0	0.0	0.1	8188533000000.0	0.0	0.1	8188533000000.0	0.0	0.1
18018930000000.0	1.0	0.1	18018930000000.0	0.0	0.1	18018930000000.0	0.0	0.1	18018930000000.0	0.0	0.1
37679730000000.0	1.0	0.1	37679730000000.0	0.0	0.1	37679730000000.0	0.0	0.1	37679730000000.0	0.0	0.1
77001330000000.0	1.0	0.1	77001330000000.0	0.0	0.1	77001330000000.0	0.0	0.1	77001330000000.0	0.0	0.1
142537300000000.0	1.0	0.1	142537300000000.0	0.0	0.1	142537300000000.0	0.0	0.1	142537300000000.0	0.0	0.1
273609300000000.0	1.0	0.1	273609300000000.0	0.0	0.1	273609300000000.0	0.0	0.1	273609300000000.0	0.0	0.1
509538900000000.0	1.0	0.1	509538900000000.0	0.0	0.1	509538900000000.0	0.0	0.1	509538900000000.0	0.0	0.1
928969300000000.0	1.0	0.1	928969300000000.0	0.0	0.1	928969300000000.0	0.0	0.1	928969300000000.0	0.0	0.1
1453257000000000.0	1.0	0.1	1453257000000000.0	0.0	0.1	1453257000000000.0	0.0	0.1	1453257000000000.0	0.0	0.1
2276487000000000.0	1.0	0.1	2276487000000000.0	0.0	0.1	2276487000000000.0	0.0	0.1	2276487000000000.0	0.0	0.1
3099717000000000.0	1.0	0.1	3099717000000000.0	0.0	0.1	3099717000000000.0	0.0	0.1	3099717000000000.0	0.0	0.1
3922946000000000.0	1.0	0.1	3922946000000000.0	0.0	0.1	3922946000000000.0	0.0	0.1	3922946000000000.0	0.0	0.1
4746176000000000.0	1.0	0.1	4746176000000000.0	0.0	0.1	4746176000000000.0	0.0	0.1	4746176000000000.0	0.0	0.1
5569406000000000.0	1.0	0.1	5569406000000000.0	0.0	0.1	5569406000000000.0	0.0	0.1	5569406000000000.0	0.0	0.1
6392635000000000.0	1.0	0.1	6392635000000000.0	0.0	0.1	6392635000000000.0	0.0	0.1	6392635000000000.0	0.0	0.1
7215865000000000.0	1.0000000199999999	0.1	7215865000000000.0	0.0	0.1	7215865000000000.0	0.0	0.1	7215865000000000.0	0.0	0.1
8039095000000000.0	1.00000005	0.1	8039095000000000.0	0.0	0.1	8039095000000000.0	0.0	0.1	8039095000000000.0	0.0	0.1
8862324000000000.0	1.0	0.1	8862324000000000.0	0.0	0.1	8862324000000000.0	0.0	0.1	8862324000000000.0	0.0	0.1
9685554000000000.0	1.0	0.1	9685554000000000.0	0.0	0.1	9685554000000000.0	0.0	0.1	9685554000000000.0	0.0	0.1
1.050878e+16	0.99999997	0.1	1.050878e+16	0.0	0.1	1.050878e+16	0.0	0.1	1.050878e+16	0.0	0.1
1.133201e+16	0.99999996	0.1	1.133201e+16	0.0	0.1	1.133201e+16	0.0	0.1	1.133201e+16	0.0	0.1
1.215524e+16	0.99999999	0.1	1.215524e+16	0.0	0.1	1.215524e+16	0.0	0.1	1.215524e+16	0.0	0.1
1.297847e+16	0.9999999900000001	0.1	1.297847e+16	0.0	0.1	1.297847e+16	0.0	0.1	1.297847e+16	0.0	0.1
1.38017e+16	0.99999996	0.1	1.38017e+16	0.0	0.1	1.38017e+16	0.0	0.1	1.38017e+16	0.0	0.1
1.462493e+16	0.99999996	0.1	1.462493e+16	0.0	0.1	1.462493e+16	0.0	0.1	1.462493e+16	0.0	0.1
1.544816e+16	0.99999996	0.1	1.544816e+16	0.0	0.1	1.544816e+16	0.0	0.1	1.544816e+16	0.0	0.1
1.627139e+16	0.99999997	0.1	1.627139e+16	0.0	0.1	1.627139e+16	0.0	0.1	1.627139e+16	0.0	0.1
1.709462e+16	1.0	0.1	1.709462e+16	0.0	0.1	1.709462e+16	0.0	0.1	1.709462e+16	0.0	0.1
1.791785e+16	0.9999999700000001	0.1	1.791785e+16	0.0	0.1	1.791785e+16	0.0	0.1	1.791785e+16	0.0	0.1
1.874108e+16	0.9999999900000001	0.1	1.874108e+16	0.0	0.1	1.874108e+16	0.0	0.1	1.874108e+16	0.0	0.1
